Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,110.79,113.21,219212,114.5,110.79,113.19,4703,110.79,113.21,219212,114.5,110.79,113.19,,
2023-03-02,112.62,113.35,263394,114.53,111.23,113.16,6291,112.62,113.35,263394,114.53,111.23,113.16,,
2023-03-03,113.13,114.12,233334,116.1,112.09,114.19,5168,113.13,114.12,233334,116.1,112.09,114.19,,
2023-03-06,114.12,113.56,333391,114.36,111.55,112.84,6182,114.12,113.56,333391,114.36,111.55,112.84,,
2023-03-07,113.71,112.25,188104,114.89,111.14,112.66,4670,113.71,112.25,188104,114.89,111.14,112.66,,
2023-03-08,112.35,109.99,331165,112.89,107.39,109.88,5808,112.35,109.99,331165,112.89,107.39,109.88,,
2023-03-09,110.08,108.78,267593,111.19,107.02,108.72,6184,110.08,108.78,267593,111.19,107.02,108.72,,
2023-03-10,108.64,106.26,409052,109.21,103.9,106.1,7072,108.64,106.26,409052,109.21,103.9,106.1,,
2023-03-13,105.97,107.7,219933,109.08,104.9,107.39,6580,105.97,107.7,219933,109.08,104.9,107.39,,
2023-03-14,108.93,109.41,180388,110.76,107.8,109.11,5491,108.93,109.41,180388,110.76,107.8,109.11,,
2023-03-15,107.81,108.57,191499,108.69,105.81,107.47,4754,107.81,108.57,191499,108.69,105.81,107.47,,
2023-03-16,108.06,109.74,167936,110.5,105.74,108.83,3270,108.06,109.74,167936,110.5,105.74,108.83,,
2023-03-17,109.13,108.19,154398,109.72,107.6,108.59,3684,109.13,108.19,154398,109.72,107.6,108.59,,
2023-03-20,108.25,109.85,212299,110.6,107.22,109.52,4739,108.25,109.85,212299,110.6,107.22,109.52,,
2023-03-21,110.18,108.97,176980,111.29,106.97,109.01,3861,110.18,108.97,176980,111.29,106.97,109.01,,
2023-03-22,109.38,105.6,116468,109.8,105.46,107.12,3777,109.38,105.6,116468,109.8,105.46,107.12,,
2023-03-23,105.95,105.54,155800,107.77,103.88,105.59,4359,105.95,105.54,155800,107.77,103.88,105.59,,
2023-03-24,105.09,104.95,154881,105.77,103.38,104.42,3958,105.09,104.95,154881,105.77,103.38,104.42,,
2023-03-27,105.54,108.61,134319,109.85,104.56,107.91,3005,105.54,108.61,134319,109.85,104.56,107.91,,
2023-03-28,109.07,109.77,120280,111.84,109.07,110.57,3956,109.07,109.77,120280,111.84,109.07,110.57,,
2023-03-29,110.59,110.64,134862,111.57,108.09,110.08,3653,110.59,110.64,134862,111.57,108.09,110.08,,
2023-03-30,111.27,108.6,259630,111.27,107.42,109.08,4213,111.27,108.6,259630,111.27,107.42,109.08,,
2023-03-31,109.09,107.26,345507,109.32,106.23,107.3,7700,109.09,107.26,345507,109.32,106.23,107.3,,
