Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7.745,8.29,2477484,8.47,7.68,8.245,17749,7.489,8.016,2477484,8.19,7.426,7.972,,
2023-03-02,8.29,8.51,1371839,8.51,8.285,8.439,8910,8.016,8.228,1371839,8.228,8.011,8.16,,
2023-03-03,8.63,8.57,695419,8.65,8.47,8.567,9508,8.344,8.286,695419,8.364,8.19,8.284,,
2023-03-06,8.51,8.38,616957,8.6,8.28,8.382,5041,8.228,8.103,616957,8.315,8.006,8.105,,
2023-03-07,8.29,8.02,1508272,8.29,7.88,7.97,14385,8.016,7.755,1508272,8.016,7.619,7.706,,
2023-03-08,8.039,8.039,1938079,8.109,7.919,8.026,12319,7.773,7.773,1938079,7.841,7.657,7.76,,
2023-03-09,8.049,7.869,920355,8.314,7.869,7.993,7495,7.783,7.609,920355,8.039,7.609,7.729,,
2023-03-10,8.014,7.864,735741,8.134,7.859,7.949,6778,7.749,7.604,735741,7.865,7.599,7.686,,
2023-03-13,8.154,8.084,2548878,8.429,8.064,8.23,18382,7.884,7.817,2548878,8.15,7.797,7.958,,
2023-03-14,8.054,8.194,964062,8.324,8.024,8.219,8025,7.788,7.923,964062,8.049,7.759,7.947,,
2023-03-15,8.374,8.154,1361989,8.504,8.014,8.214,12559,8.097,7.884,1361989,8.223,7.749,7.942,,
2023-03-16,8.164,7.924,1261028,8.204,7.774,7.888,9908,7.894,7.662,1261028,7.933,7.517,7.627,,
2023-03-17,8.134,8.354,5305541,8.604,7.944,8.341,19488,7.865,8.078,5305541,8.319,7.681,8.065,,
2023-03-20,8.414,8.384,754169,8.464,8.074,8.383,7123,8.136,8.107,754169,8.184,7.807,8.106,,
2023-03-21,8.304,8.084,952886,8.334,7.979,8.092,8158,8.029,7.817,952886,8.058,7.715,7.824,,
2023-03-22,8.114,8.204,1315063,8.414,8.104,8.268,10146,7.846,7.933,1315063,8.136,7.836,7.994,,
2023-03-23,8.274,8.104,1676002,8.424,8.054,8.21,12470,8,7.836,1676002,8.145,7.788,7.938,,
2023-03-24,8.154,8.204,1110080,8.234,7.984,8.157,9415,7.884,7.933,1110080,7.962,7.72,7.887,,
2023-03-27,8.044,8.084,653560,8.274,8.014,8.132,5345,7.778,7.817,653560,8,7.749,7.863,,
2023-03-28,8.174,8.264,1185003,8.289,8.119,8.262,8906,7.904,7.991,1185003,8.015,7.85,7.989,,
2023-03-29,8.204,8.094,729813,8.354,8.084,8.156,7212,7.933,7.826,729813,8.078,7.817,7.886,,
2023-03-30,8.203,8.183,1118074,8.253,8.033,8.145,7885,7.932,7.912,1118074,7.98,7.767,7.876,,
2023-03-31,8.143,8.183,1489007,8.283,8.133,8.212,11104,7.874,7.912,1489007,8.009,7.864,7.94,,
