Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.5,21.33,2009985,21.7,21.16,21.41,13584,21.26,21.09,2009985,21.46,20.92,21.17,,
2023-03-02,21.02,22.73,2113129,22.78,20.07,22.3,21446,20.79,22.48,2113129,22.53,19.85,22.05,,
2023-03-03,22.66,22.1,2116676,22.77,22.06,22.29,28731,22.41,21.85,2116676,22.52,21.81,22.04,,
2023-03-06,22,20.91,2628201,22.12,20.72,21.1,25842,21.75,20.68,2628201,21.87,20.49,20.86,,
2023-03-07,20.88,20,3173553,21.08,19.63,20,26002,20.65,19.78,3173553,20.85,19.41,19.78,,
2023-03-08,19.71,19.7,1899422,19.86,19.42,19.61,18890,19.49,19.48,1899422,19.64,19.2,19.39,,
2023-03-09,19,18.48,3838986,19.62,18.4,18.91,37006,18.79,18.27,3838986,19.4,18.19,18.7,,
2023-03-10,18.35,18.29,2455885,19.16,18.28,18.54,24639,18.15,18.09,2455885,18.95,18.08,18.33,,
2023-03-13,18.51,18.33,3165986,18.71,17.83,18.27,30196,18.3,18.13,3165986,18.5,17.63,18.07,,
2023-03-14,18.07,17.99,1937108,18.61,17.56,17.99,22302,17.87,17.79,1937108,18.4,17.36,17.79,,
2023-03-15,17.51,17.17,3300335,17.77,17.09,17.33,36097,17.31,16.98,3300335,17.57,16.9,17.14,,
2023-03-16,17.07,17.51,4522356,17.56,16.56,17.17,36215,16.88,17.31,4522356,17.36,16.38,16.98,,
2023-03-17,17.46,17.85,2514971,17.92,17.24,17.78,21798,17.27,17.65,2514971,17.72,17.05,17.58,,
2023-03-20,18.47,17.86,3538153,18.51,16.12,17.68,38753,18.26,17.66,3538153,18.3,15.94,17.48,,
2023-03-21,18.21,18.96,2499084,19.24,18.21,18.97,18410,18.01,18.75,2499084,19.03,18.01,18.76,,
2023-03-22,19.01,17.71,3587055,19.01,17.67,17.93,21868,18.8,17.51,3587055,18.8,17.47,17.73,,
2023-03-23,18.64,18.96,3797639,19.56,18.37,19.1,34919,18.43,18.75,3797639,19.34,18.17,18.89,,
2023-03-24,18.89,19.6,3142666,19.69,18.8,19.37,29461,18.68,19.38,3142666,19.47,18.59,19.15,,
2023-03-27,19.12,18.89,1795097,19.38,18.34,18.85,15697,18.91,18.68,1795097,19.16,18.14,18.64,,
2023-03-28,19.54,18.96,2890704,19.76,18.9,19.07,16627,19.32,18.75,2890704,19.54,18.69,18.86,,
2023-03-29,19.06,19.17,3253636,19.41,18.8,19.21,16501,18.85,18.96,3253636,19.19,18.59,19,,
2023-03-30,19.37,19.46,2551025,20.02,19.2,19.59,18919,19.15,19.24,2551025,19.8,18.99,19.37,,
2023-03-31,19.36,19.04,1610309,19.61,18.79,19.11,14641,19.14,18.83,1610309,19.39,18.58,18.9,,
