Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,8.52,8.91,994918,9.04,8.52,8.78,8511,8.381,8.764,994918,8.892,8.381,8.636,,
2023-03-02,8.49,8.74,850829,8.74,8.42,8.603,8721,8.351,8.597,850829,8.597,8.282,8.462,,
2023-03-03,8.61,8.55,993712,8.65,8.37,8.524,8972,8.469,8.41,993712,8.509,8.233,8.385,,
2023-03-06,8.38,8.26,555629,8.4,8.18,8.274,4540,8.243,8.125,555629,8.263,8.046,8.139,,
2023-03-07,8.2,7.98,878447,8.23,7.98,8.074,6528,8.066,7.849,878447,8.095,7.849,7.942,,
2023-03-08,7.949,7.789,635615,7.949,7.749,7.83,5350,7.819,7.662,635615,7.819,7.622,7.702,,
2023-03-09,7.699,7.619,833986,7.749,7.589,7.662,8463,7.573,7.494,833986,7.622,7.465,7.537,,
2023-03-10,7.624,7.634,1197624,7.704,7.529,7.605,8788,7.499,7.509,1197624,7.578,7.406,7.481,,
2023-03-13,7.504,7.644,1356853,7.674,7.344,7.596,13502,7.381,7.519,1356853,7.548,7.224,7.472,,
2023-03-14,7.744,7.724,1202521,7.804,7.654,7.721,10955,7.617,7.598,1202521,7.676,7.529,7.595,,
2023-03-15,7.164,7.454,2179904,7.484,7.003,7.278,23642,7.047,7.332,2179904,7.362,6.888,7.159,,
2023-03-16,6.923,6.873,2184739,7.003,6.743,6.876,18951,6.81,6.761,2184739,6.888,6.633,6.764,,
2023-03-17,6.813,6.713,3213661,6.873,6.688,6.731,11798,6.702,6.603,3213661,6.761,6.579,6.621,,
2023-03-20,6.563,6.663,969479,6.663,6.503,6.588,9895,6.456,6.554,969479,6.554,6.397,6.48,,
2023-03-21,6.783,6.853,1190457,6.938,6.548,6.868,9735,6.672,6.741,1190457,6.825,6.441,6.756,,
2023-03-22,6.913,6.653,574749,6.913,6.653,6.752,5654,6.8,6.544,574749,6.8,6.544,6.642,,
2023-03-23,6.793,6.933,1257772,7.184,6.793,7.053,11580,6.682,6.82,1257772,7.066,6.682,6.938,,
2023-03-24,6.843,6.853,776780,6.873,6.723,6.803,7575,6.731,6.741,776780,6.761,6.613,6.692,,
2023-03-27,6.983,7.054,805763,7.089,6.883,7.001,5928,6.869,6.939,805763,6.973,6.77,6.886,,
2023-03-28,6.913,7.064,785355,7.074,6.913,7.018,7066,6.8,6.948,785355,6.958,6.8,6.903,,
2023-03-29,6.943,7.194,744200,7.194,6.913,7.085,7775,6.829,7.076,744200,7.076,6.8,6.969,,
2023-03-30,7.173,7.473,1192978,7.553,7.133,7.391,10540,7.056,7.351,1192978,7.429,7.016,7.27,,
2023-03-31,7.263,7.373,1116034,7.458,7.143,7.316,10455,7.144,7.252,1116034,7.336,7.026,7.196,,
