Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,11.22,11.07,334048,11.23,11.07,11.13,2874,10.47,10.33,334048,10.47,10.33,10.38,,
2023-03-02,11.03,11.01,317479,11.07,10.96,11.01,3209,10.29,10.27,317479,10.33,10.22,10.27,,
2023-03-03,10.62,10.57,989918,10.63,10.38,10.5,6147,9.905,9.859,989918,9.915,9.682,9.793,,
2023-03-06,10.49,10.33,470516,10.51,10.3,10.37,3338,9.784,9.635,470516,9.803,9.607,9.672,,
2023-03-07,10.26,10.15,440081,10.27,10.13,10.18,3638,9.57,9.467,440081,9.579,9.448,9.495,,
2023-03-08,10.15,10.13,392715,10.27,10.12,10.18,2928,9.467,9.448,392715,9.579,9.439,9.495,,
2023-03-09,10.29,10.25,421041,10.35,10.21,10.27,2615,9.598,9.56,421041,9.654,9.523,9.579,,
2023-03-10,10.29,10.18,614980,10.34,10.18,10.24,4943,9.598,9.495,614980,9.644,9.495,9.551,,
2023-03-13,10.17,10.23,848462,10.25,10.16,10.22,4692,9.486,9.542,848462,9.56,9.476,9.532,,
2023-03-14,10.11,10.25,917445,10.27,10.07,10.2,5344,9.43,9.56,917445,9.579,9.392,9.514,,
2023-03-15,10,10.08,1141625,10.11,9.97,10.02,6198,9.327,9.402,1141625,9.43,9.299,9.346,,
2023-03-16,10.03,10.22,727817,10.26,10.03,10.2,4747,9.355,9.532,727817,9.57,9.355,9.514,,
2023-03-17,10.19,10.21,411389,10.28,10.19,10.22,4089,9.504,9.523,411389,9.588,9.504,9.532,,
2023-03-20,10.26,10.32,440838,10.35,10.25,10.31,2434,9.57,9.626,440838,9.654,9.56,9.616,,
2023-03-21,10.3,10.17,534431,10.3,10.15,10.2,3271,9.607,9.486,534431,9.607,9.467,9.514,,
2023-03-22,10.18,10.06,739568,10.21,10.06,10.14,3906,9.495,9.383,739568,9.523,9.383,9.458,,
2023-03-23,10.03,9.975,716785,10.11,9.965,10.03,5399,9.533,9.481,716785,9.609,9.471,9.533,0.187814,
2023-03-24,9.905,9.965,422379,9.965,9.87,9.92,3090,9.414,9.471,422379,9.471,9.381,9.429,,
2023-03-27,10.06,10.11,376985,10.14,10.06,10.11,2482,9.562,9.609,376985,9.638,9.562,9.609,,
2023-03-28,10.1,10.16,337926,10.18,10.08,10.14,2763,9.6,9.657,337926,9.676,9.581,9.638,,
2023-03-29,10.14,10.12,290408,10.16,10.1,10.12,2498,9.638,9.619,290408,9.657,9.6,9.619,,
2023-03-30,10.09,10.17,624182,10.19,10.06,10.13,3106,9.59,9.666,624182,9.685,9.562,9.628,,
2023-03-31,10.41,10.45,848424,10.46,10.34,10.41,4380,9.894,9.932,848424,9.942,9.828,9.894,,
