Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-08,16.56,18.09,63939,18.09,16.3,17.22,641,16.56,18.09,63939,18.09,16.3,17.22,,25:1
2023-03-09,17.86,17,81754,18.06,16.52,17.32,1002,17.86,17,81754,18.06,16.52,17.32,,
2023-03-10,17.11,16.17,108781,17.2,15.47,16.14,1156,17.11,16.17,108781,17.2,15.47,16.14,,
2023-03-13,15.72,15.71,48851,16.06,15.66,15.77,435,15.72,15.71,48851,16.06,15.66,15.77,,
2023-03-14,15.63,15.16,135166,15.67,14.45,15.22,1035,15.63,15.16,135166,15.67,14.45,15.22,,
2023-03-15,14.89,15.01,42754,15.31,14.53,15.04,283,14.89,15.01,42754,15.31,14.53,15.04,,
2023-03-16,14.77,16.01,41124,16.01,14.53,15,461,14.77,16.01,41124,16.01,14.53,15,,
2023-03-17,15.51,15.32,20680,15.71,15.12,15.4,221,15.51,15.32,20680,15.71,15.12,15.4,,
2023-03-20,15.42,16.06,16220,16.1,15.42,15.57,294,15.42,16.06,16220,16.1,15.42,15.57,,
2023-03-21,15.6,16.46,29746,16.63,15.6,16.37,450,15.6,16.46,29746,16.63,15.6,16.37,,
2023-03-22,16.36,16.52,24265,17.01,16.33,16.75,212,16.36,16.52,24265,17.01,16.33,16.75,,
2023-03-23,16.61,17.93,51232,17.93,16.53,17.05,435,16.61,17.93,51232,17.93,16.53,17.05,,
2023-03-24,17.5,17.51,69453,17.81,17.03,17.71,701,17.5,17.51,69453,17.81,17.03,17.71,,
2023-03-27,17.51,17.26,18829,17.51,17.26,17.42,197,17.51,17.26,18829,17.51,17.26,17.42,,
2023-03-28,17.07,17.28,135455,17.39,17.01,17.22,296,17.07,17.28,135455,17.39,17.01,17.22,,
2023-03-29,17.21,17.5,154140,17.87,17.21,17.49,1028,17.21,17.5,154140,17.87,17.21,17.49,,
2023-03-30,17.66,17.71,37379,17.81,17.51,17.67,279,17.66,17.71,37379,17.81,17.51,17.67,,
2023-03-31,17.71,17.73,189704,17.87,17.41,17.6,1204,17.71,17.73,189704,17.87,17.41,17.6,,
