Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,6.9,6.54,3586,6.9,6.53,6.659,99,6.9,6.54,3586,6.9,6.53,6.659,,
2023-03-02,6.9,6.56,3798,6.9,6.45,6.622,64,6.9,6.56,3798,6.9,6.45,6.622,,
2023-03-03,6.42,6.76,9456,6.76,6.42,6.609,124,6.42,6.76,9456,6.76,6.42,6.609,,
2023-03-06,6.68,6.55,9073,6.896,6.52,6.667,130,6.68,6.55,9073,6.896,6.52,6.667,,
2023-03-07,6.57,6.47,10595,6.8,6.46,6.545,123,6.57,6.47,10595,6.8,6.46,6.545,,
2023-03-08,6.969,6.008,20347,6.969,5.749,6.118,309,6.969,6.008,20347,6.969,5.749,6.118,,
2023-03-09,5.819,5.284,6916,5.889,5.209,5.605,122,5.819,5.284,6916,5.889,5.209,5.605,,
2023-03-10,5.563,5.213,48035,6.073,5.213,5.511,277,5.563,5.213,48035,6.073,5.213,5.511,,
2023-03-13,5.153,5.753,86757,5.903,4.782,5.417,931,5.153,5.753,86757,5.903,4.782,5.417,,
2023-03-14,5.863,5.863,69647,6.263,5.453,5.778,785,5.863,5.863,69647,6.263,5.453,5.778,,
2023-03-15,5.793,5.053,26444,5.793,5.002,5.289,218,5.793,5.053,26444,5.793,5.002,5.289,,
2023-03-16,5.002,5.678,59546,5.858,4.802,5.433,477,5.002,5.678,59546,5.858,4.802,5.433,,
2023-03-17,5.703,5.643,33191,5.703,5.503,5.563,381,5.703,5.643,33191,5.703,5.503,5.563,,
2023-03-20,5.713,5.733,14794,6.393,5.513,5.772,301,5.713,5.733,14794,6.393,5.513,5.772,,
2023-03-21,5.913,5.773,10348,6.043,5.483,5.847,162,5.913,5.773,10348,6.043,5.483,5.847,,
2023-03-22,5.833,5.808,5379,5.953,5.655,5.779,60,5.833,5.808,5379,5.953,5.655,5.779,,
2023-03-23,5.923,5.853,8076,5.923,5.583,5.816,77,5.923,5.853,8076,5.923,5.583,5.816,,
2023-03-24,5.869,5.803,6333,5.953,5.703,5.861,86,5.869,5.803,6333,5.953,5.703,5.861,,
2023-03-27,5.763,6.003,12099,6.153,5.593,5.962,193,5.763,6.003,12099,6.153,5.593,5.962,,
2023-03-28,6.073,6.103,57236,6.429,5.803,6.084,493,6.073,6.103,57236,6.429,5.803,6.084,,
2023-03-29,6.303,7.014,73479,7.234,6.303,6.987,556,6.303,7.014,73479,7.234,6.303,6.987,,
2023-03-30,7.073,7.463,46214,7.603,7.073,7.354,405,7.073,7.463,46214,7.603,7.073,7.354,,
2023-03-31,7.573,7.103,44886,7.893,7.103,7.492,339,7.573,7.103,44886,7.893,7.103,7.492,,
