Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,14.5,14.48,649701,14.53,14.16,14.38,5861,13.03,13.01,649701,13.06,12.72,12.92,,
2023-03-02,14.4,14.49,641102,14.55,14.33,14.45,5730,12.94,13.02,641102,13.07,12.88,12.98,,
2023-03-03,14.64,14.59,530647,14.64,14.36,14.51,6461,13.15,13.11,530647,13.15,12.9,13.04,,
2023-03-06,14.67,14.37,468462,14.67,14.29,14.44,6133,13.18,12.91,468462,13.18,12.84,12.97,,
2023-03-07,14.34,13.94,811151,14.41,13.75,13.96,6715,12.88,12.53,811151,12.95,12.35,12.54,,
2023-03-08,14.03,14.11,449690,14.13,13.89,14.06,5617,12.61,12.68,449690,12.7,12.48,12.63,,
2023-03-09,14.07,13.79,356718,14.12,13.79,13.9,4428,12.64,12.39,356718,12.69,12.39,12.49,,
2023-03-10,13.7,13.19,527792,13.77,13.05,13.27,6989,12.31,11.85,527792,12.37,11.73,11.92,,
2023-03-13,13,13.23,722526,13.4,12.92,13.22,8717,11.68,11.89,722526,12.04,11.61,11.88,,
2023-03-14,13.69,13.74,745190,14.04,13.61,13.75,9259,12.3,12.35,745190,12.61,12.23,12.35,,
2023-03-15,13.34,13.72,1756766,13.76,13.3,13.53,13236,11.99,12.33,1756766,12.36,11.95,12.16,,
2023-03-16,13.62,13.65,2143806,13.97,13.24,13.7,17431,12.24,12.26,2143806,12.55,11.9,12.31,,
2023-03-17,13.49,13.07,1937673,13.49,12.99,13.12,10302,12.12,11.74,1937673,12.12,11.67,11.79,,
2023-03-20,13.21,13.36,778108,13.54,13.21,13.37,7688,11.87,12,778108,12.17,11.87,12.01,,
2023-03-21,13.59,13.63,752583,13.75,13.52,13.64,7617,12.21,12.25,752583,12.35,12.15,12.26,,
2023-03-22,13.65,12.93,982476,13.67,12.87,13.19,10036,12.26,11.62,982476,12.28,11.56,11.85,,
2023-03-23,12.92,12.84,807892,13.23,12.74,12.93,8214,11.61,11.54,807892,11.89,11.45,11.62,,
2023-03-24,12.72,13.28,486392,13.3,12.68,13.11,6786,11.43,11.93,486392,11.95,11.39,11.78,,
2023-03-27,13.51,13.35,546928,13.54,13.3,13.37,6589,12.14,12,546928,12.17,11.95,12.01,,
2023-03-28,13.29,13.43,691105,13.51,13.19,13.4,6670,11.94,12.07,691105,12.14,11.85,12.04,,
2023-03-29,13.63,13.61,762666,13.66,13.38,13.54,6017,12.25,12.23,762666,12.27,12.02,12.17,,
2023-03-30,13.63,13.53,526907,13.69,13.39,13.51,6204,12.41,12.32,526907,12.47,12.19,12.3,0.18,
2023-03-31,13.63,13.96,818018,13.96,13.63,13.88,7821,12.41,12.71,818018,12.71,12.41,12.64,,
