Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,9.6,9.34,2020988,9.675,9.26,9.389,14963,9.329,9.077,2020988,9.402,8.999,9.124,,
2023-03-02,9.26,9.57,27085098,9.7,9.22,9.525,107041,8.999,9.3,27085098,9.426,8.96,9.256,,
2023-03-03,9.69,9.99,11204073,10.04,9.64,9.942,49020,9.417,9.708,11204073,9.757,9.368,9.662,,
2023-03-06,9.89,9.81,9342753,10.1,9.81,9.868,27398,9.611,9.533,9342753,9.815,9.533,9.59,,
2023-03-07,9.73,9.63,2377663,9.89,9.625,9.685,17221,9.456,9.358,2377663,9.611,9.354,9.412,,
2023-03-08,9.619,9.689,2295869,9.759,9.599,9.698,15547,9.348,9.416,2295869,9.484,9.328,9.425,,
2023-03-09,9.599,9.019,8831724,9.599,8.989,9.247,48960,9.328,8.765,8831724,9.328,8.736,8.986,,
2023-03-10,9.055,8.864,6103795,9.205,8.694,8.892,40304,8.8,8.614,6103795,8.945,8.449,8.641,,
2023-03-13,8.654,8.684,6181184,8.849,8.514,8.686,37897,8.41,8.439,6181184,8.599,8.274,8.441,,
2023-03-14,8.914,8.934,3943059,9.105,8.774,8.923,23377,8.663,8.682,3943059,8.848,8.527,8.671,,
2023-03-15,8.704,8.724,3812015,8.864,8.574,8.69,24706,8.459,8.478,3812015,8.614,8.332,8.445,,
2023-03-16,8.604,8.744,4027269,8.824,8.504,8.716,26653,8.361,8.497,4027269,8.575,8.264,8.47,,
2023-03-17,8.774,8.664,5292595,8.774,8.529,8.641,23706,8.527,8.42,5292595,8.527,8.289,8.397,,
2023-03-20,8.704,8.654,2825056,8.754,8.579,8.65,16649,8.459,8.41,2825056,8.507,8.337,8.406,,
2023-03-21,8.824,8.984,2377426,9.045,8.799,8.947,14306,8.575,8.731,2377426,8.79,8.551,8.695,,
2023-03-22,8.934,8.784,2463077,9.095,8.754,8.885,13006,8.682,8.536,2463077,8.839,8.507,8.634,,
2023-03-23,8.854,8.704,2004582,8.999,8.584,8.753,13831,8.604,8.459,2004582,8.745,8.342,8.506,,
2023-03-24,8.604,8.834,1970276,8.844,8.514,8.752,15084,8.361,8.585,1970276,8.595,8.274,8.505,,
2023-03-27,8.964,8.724,3393807,8.964,8.704,8.762,14801,8.711,8.478,3393807,8.711,8.459,8.515,,
2023-03-28,8.674,8.734,2236410,8.819,8.604,8.734,11700,8.429,8.488,2236410,8.57,8.361,8.488,,
2023-03-29,8.864,8.934,3106943,8.944,8.786,8.904,13888,8.614,8.682,3106943,8.692,8.538,8.653,,
2023-03-30,9.064,8.924,4179414,9.099,8.889,8.943,15688,8.808,8.672,4179414,8.842,8.638,8.691,,
2023-03-31,8.984,9.214,3921305,9.244,8.974,9.171,16555,8.731,8.954,3921305,8.983,8.721,8.912,,
