Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,6.74,6.53,132324,6.81,6.47,6.559,1845,6.74,6.53,132324,6.81,6.47,6.559,,
2023-03-02,6.45,6.47,325645,6.5,6.285,6.43,2298,6.45,6.47,325645,6.5,6.285,6.43,,
2023-03-03,6.51,6.52,158817,6.706,6.46,6.631,1669,6.51,6.52,158817,6.706,6.46,6.631,,
2023-03-06,6.5,6.49,127012,6.59,6.28,6.425,2147,6.5,6.49,127012,6.59,6.28,6.425,,
2023-03-07,6.45,6.39,106114,6.59,6.37,6.46,1684,6.45,6.39,106114,6.59,6.37,6.46,,
2023-03-08,6.399,6.239,133766,6.439,6.139,6.241,1994,6.399,6.239,133766,6.439,6.139,6.241,,
2023-03-09,6.299,5.869,160293,6.329,5.679,5.959,2072,6.299,5.869,160293,6.329,5.679,5.959,,
2023-03-10,5.793,5.393,387230,5.813,5.098,5.38,4538,5.793,5.393,387230,5.813,5.098,5.38,,
2023-03-13,5.303,5.633,746836,5.993,5.203,5.694,6948,5.303,5.633,746836,5.993,5.203,5.694,,
2023-03-14,5.743,5.253,259639,5.863,5.093,5.35,4920,5.743,5.253,259639,5.863,5.093,5.35,,
2023-03-15,5.213,5.193,344772,5.413,4.692,5.163,5716,5.213,5.193,344772,5.413,4.692,5.163,,
2023-03-16,5.143,5.002,375400,5.173,4.957,5.037,4253,5.143,5.002,375400,5.173,4.957,5.037,,
2023-03-17,4.952,4.772,401430,5.033,4.662,4.797,4193,4.952,4.772,401430,5.033,4.662,4.797,,
2023-03-20,4.792,4.612,303664,4.857,4.522,4.617,3843,4.792,4.612,303664,4.857,4.522,4.617,,
2023-03-21,4.732,4.812,1074490,5.072,4.702,4.932,4177,4.732,4.812,1074490,5.072,4.702,4.932,,
2023-03-22,4.852,4.802,247688,5.002,4.677,4.809,3113,4.852,4.802,247688,5.002,4.677,4.809,,
2023-03-23,4.842,4.872,335511,4.912,4.672,4.784,4840,4.842,4.872,335511,4.912,4.672,4.784,,
2023-03-24,4.832,4.662,229476,4.932,4.572,4.73,3469,4.832,4.662,229476,4.932,4.572,4.73,,
2023-03-27,4.672,4.992,209762,5.043,4.612,4.932,3022,4.672,4.992,209762,5.043,4.612,4.932,,
2023-03-28,4.962,4.872,213781,5.083,4.802,4.927,2710,4.962,4.872,213781,5.083,4.802,4.927,,
2023-03-29,4.902,5.002,231560,5.063,4.832,4.973,3268,4.902,5.002,231560,5.063,4.832,4.973,,
2023-03-30,5.032,4.562,185370,5.222,4.442,4.625,2342,5.032,4.562,185370,5.222,4.442,4.625,,
2023-03-31,4.582,4.522,168466,4.702,4.494,4.56,1925,4.582,4.522,168466,4.702,4.494,4.56,,
