Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,10.21,10.3,15728,10.3,10.21,10.22,20,10.21,10.3,15728,10.3,10.21,10.22,,
2023-03-02,10.3,10.25,14340,10.3,10.25,10.25,49,10.3,10.25,14340,10.3,10.25,10.25,,
2023-03-03,10.29,10.29,190,10.29,10.29,10.28,2,10.29,10.29,190,10.29,10.29,10.28,,
2023-03-09,10.28,10.27,12405,10.29,10.25,10.27,59,10.28,10.27,12405,10.29,10.25,10.27,,
2023-03-10,10.26,10.31,16091,10.31,10.26,10.26,14,10.26,10.31,16091,10.31,10.26,10.26,,
2023-03-13,10.26,10.28,9021,10.28,10.26,10.26,27,10.26,10.28,9021,10.28,10.26,10.26,,
2023-03-14,10.29,10.29,1006,10.29,10.29,10.29,5,10.29,10.29,1006,10.29,10.29,10.29,,
2023-03-15,10.28,10.28,57180,10.28,10.28,10.28,21,10.28,10.28,57180,10.28,10.28,10.28,,
2023-03-16,10.26,10.28,1126,10.28,10.26,10.28,3,10.26,10.28,1126,10.28,10.26,10.28,,
2023-03-17,10.31,10.34,3085,10.34,10.3,10.32,19,10.31,10.34,3085,10.34,10.3,10.32,,
2023-03-20,10.41,10.38,797,10.41,10.35,10.38,9,10.41,10.38,797,10.41,10.35,10.38,,
2023-03-21,10.32,10.33,35767,10.45,10.3,10.36,166,10.32,10.33,35767,10.45,10.3,10.36,,
2023-03-22,10.31,10.23,77327,10.75,10.16,10.33,620,10.31,10.23,77327,10.75,10.16,10.33,,
2023-03-23,10.18,10.16,9455,10.18,10.12,10.14,44,10.18,10.16,9455,10.18,10.12,10.14,,
2023-03-24,10.13,10.17,3048,10.19,10.13,10.16,28,10.13,10.17,3048,10.19,10.13,10.16,,
2023-03-27,10.16,10.16,2233,10.16,10.16,10.16,16,10.16,10.16,2233,10.16,10.16,10.16,,
2023-03-28,10.16,10.16,105,10.16,10.16,10.16,2,10.16,10.16,105,10.16,10.16,10.16,,
2023-03-29,10.16,10.16,3611,10.16,10.15,10.16,28,10.16,10.16,3611,10.16,10.15,10.16,,
2023-03-30,10.2,10.16,200,10.2,10.16,10.18,2,10.2,10.16,200,10.2,10.16,10.18,,
