Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.31,22.89,398629,23.33,22.08,22.9,10395,22.31,22.89,398629,23.33,22.08,22.9,,
2023-03-02,22.51,22.65,303921,22.79,22.2,22.58,7772,22.51,22.65,303921,22.79,22.2,22.58,,
2023-03-03,22.91,22.67,290794,23.09,22.66,22.81,6126,22.91,22.67,290794,23.09,22.66,22.81,,
2023-03-06,22.62,21.34,426524,23.02,21.22,21.75,9654,22.62,21.34,426524,23.02,21.22,21.75,,
2023-03-07,21.4,21,445124,21.85,20.94,21.23,8466,21.4,21,445124,21.85,20.94,21.23,,
2023-03-08,20.99,21.25,279938,21.34,20.85,21.15,5677,20.99,21.25,279938,21.34,20.85,21.15,,
2023-03-09,21.22,19.46,604451,21.38,19.44,19.89,9842,21.22,19.46,604451,21.38,19.44,19.89,,
2023-03-10,19.28,18.31,486073,19.35,18.22,18.56,9489,19.28,18.31,486073,19.35,18.22,18.56,,
2023-03-13,17.86,16.86,697357,17.86,16.8,17.13,10987,17.86,16.86,697357,17.86,16.8,17.13,,
2023-03-14,17.75,16.6,646820,17.86,16.4,16.84,9653,17.75,16.6,646820,17.86,16.4,16.84,,
2023-03-15,16.09,16.75,494037,16.75,15.74,16.42,8021,16.09,16.75,494037,16.75,15.74,16.42,,
2023-03-16,16.37,16.4,490683,16.68,15.91,16.41,10257,16.37,16.4,490683,16.68,15.91,16.41,,
2023-03-17,16.17,16.01,896804,16.38,15.9,16.05,7294,16.17,16.01,896804,16.38,15.9,16.05,,
2023-03-20,16.13,15.94,479923,16.63,15.91,16.12,8171,16.13,15.94,479923,16.63,15.91,16.12,,
2023-03-21,16.39,16.64,430888,16.92,16.25,16.66,7587,16.39,16.64,430888,16.92,16.25,16.66,,
2023-03-22,16.8,15.97,311622,16.86,15.95,16.25,5523,16.8,15.97,311622,16.86,15.95,16.25,,
2023-03-23,16.08,16.2,458447,16.45,15.87,16.11,7984,16.08,16.2,458447,16.45,15.87,16.11,,
2023-03-24,15.95,15.65,443408,15.95,15.22,15.53,8698,15.95,15.65,443408,15.95,15.22,15.53,,
2023-03-27,15.86,16.49,402781,16.52,15.86,16.29,6762,15.86,16.49,402781,16.52,15.86,16.29,,
2023-03-28,16.49,16.64,271561,16.83,16.49,16.62,5185,16.49,16.64,271561,16.83,16.49,16.62,,
2023-03-29,16.9,16.95,332408,17.03,16.59,16.83,5170,16.9,16.95,332408,17.03,16.59,16.83,,
2023-03-30,17.16,16.96,260096,17.35,16.84,17.05,4716,17.16,16.96,260096,17.35,16.84,17.05,,
2023-03-31,17.07,17.59,333211,17.63,17.03,17.47,4229,17.07,17.59,333211,17.63,17.03,17.47,,
