Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,13.22,12.84,730232,13.3,12.64,12.84,8532,13.22,12.84,730232,13.3,12.64,12.84,,
2023-03-02,12.76,13.36,645987,13.42,12.64,13.2,7464,12.76,13.36,645987,13.42,12.64,13.2,,
2023-03-03,13.88,13.68,557843,13.88,13.38,13.63,7008,13.88,13.68,557843,13.88,13.38,13.63,,
2023-03-06,13.54,13.69,499125,13.85,13.5,13.72,5556,13.54,13.69,499125,13.85,13.5,13.72,,
2023-03-07,13.75,13.42,378279,13.94,13.38,13.57,5197,13.75,13.42,378279,13.94,13.38,13.57,,
2023-03-08,13.42,13.24,328666,13.53,13.16,13.29,5393,13.42,13.24,328666,13.53,13.16,13.29,,
2023-03-09,13.2,12.57,379242,13.47,12.54,12.82,5015,13.2,12.57,379242,13.47,12.54,12.82,,
2023-03-10,12.48,11.7,1083559,12.61,11.41,11.85,11542,12.48,11.7,1083559,12.61,11.41,11.85,,
2023-03-13,11.56,11.96,610368,12,11.29,11.84,8226,11.56,11.96,610368,12,11.29,11.84,,
2023-03-14,12.29,12.29,1012507,12.42,11.96,12.17,12536,12.29,12.29,1012507,12.42,11.96,12.17,,
2023-03-15,11.94,12.38,604527,12.38,11.88,12.24,8672,11.94,12.38,604527,12.38,11.88,12.24,,
2023-03-16,12.29,12.29,602265,12.63,12.13,12.32,6651,12.29,12.29,602265,12.63,12.13,12.32,,
2023-03-17,12.25,12.06,882453,12.34,11.89,12.08,6082,12.25,12.06,882453,12.34,11.89,12.08,,
2023-03-20,12.01,12.11,610956,12.17,11.77,12.03,6018,12.01,12.11,610956,12.17,11.77,12.03,,
2023-03-21,12.11,12.47,635617,12.57,12.11,12.41,6499,12.11,12.47,635617,12.57,12.11,12.41,,
2023-03-22,11.78,11.49,1526514,12.1,11.21,11.63,15620,11.78,11.49,1526514,12.1,11.21,11.63,,
2023-03-23,11.56,11.65,553980,11.97,11.48,11.68,7393,11.56,11.65,553980,11.97,11.48,11.68,,
2023-03-24,11.54,11.6,647522,11.62,11.19,11.45,7853,11.54,11.6,647522,11.62,11.19,11.45,,
2023-03-27,11.66,11.67,506969,11.84,11.43,11.69,8121,11.66,11.67,506969,11.84,11.43,11.69,,
2023-03-28,11.58,11.55,302397,11.73,11.48,11.58,4364,11.58,11.55,302397,11.73,11.48,11.58,,
2023-03-29,11.61,11.8,582348,11.88,11.5,11.78,6513,11.61,11.8,582348,11.88,11.5,11.78,,
2023-03-30,11.99,11.87,514041,11.99,11.71,11.86,6234,11.99,11.87,514041,11.99,11.71,11.86,,
2023-03-31,11.92,12.44,616195,12.58,11.92,12.43,6675,11.92,12.44,616195,12.58,11.92,12.43,,
