Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,93.87,92.17,52299524,94.68,91.59,92.56,449825,93.87,92.17,52299524,94.68,91.59,92.56,,
2023-03-02,91.41,92.13,55563270,92.23,90.39,91.32,456728,91.41,92.13,55563270,92.23,90.39,91.32,,
2023-03-03,92.74,94.9,55741309,94.94,92.66,94.26,433448,92.74,94.9,55741309,94.94,92.66,94.26,,
2023-03-06,95.19,93.75,52112355,96.55,93.74,94.93,424111,95.19,93.75,52112355,96.55,93.74,94.93,,
2023-03-07,94.06,93.55,49090268,95.09,92.78,93.88,380920,94.06,93.55,49090268,95.09,92.78,93.88,,
2023-03-08,93.59,93.91,44894638,94.16,92.17,93.32,351441,93.59,93.91,44894638,94.16,92.17,93.32,,
2023-03-09,93.67,92.24,56213083,96.2,92.17,94.1,452985,93.67,92.24,56213083,96.2,92.17,94.1,,
2023-03-10,92.72,90.78,69862404,93.62,90.3,91.65,594321,92.72,90.78,69862404,93.62,90.3,91.65,,
2023-03-13,90.01,92.48,72433252,94.07,88.16,92,607384,90.01,92.48,72433252,94.07,88.16,92,,
2023-03-14,93.88,94.93,60943130,95.12,92.76,94.21,464479,93.88,94.93,60943130,95.12,92.76,94.21,,
2023-03-15,93.27,96.25,70572060,96.72,93.12,95.19,560234,93.27,96.25,70572060,96.72,93.12,95.19,,
2023-03-16,95.8,100.09,84280177,101.04,95.66,99.38,693378,95.8,100.09,84280177,101.04,95.66,99.38,,
2023-03-17,99.84,99,87324632,100.71,97.5,99.01,510343,99.84,99,87324632,100.71,97.5,99.01,,
2023-03-20,98.46,97.76,62358074,98.53,95.75,97.09,509445,98.46,97.76,62358074,98.53,95.75,97.09,,
2023-03-21,98.19,100.66,58266394,100.89,98.05,99.66,465171,98.19,100.66,58266394,100.89,98.05,99.66,,
2023-03-22,100.5,98.75,57395789,102.15,98.66,100.27,483998,100.5,98.75,57395789,102.15,98.66,100.27,,
2023-03-23,100.48,98.76,57500746,101.11,97.67,99.58,469445,100.48,98.76,57500746,101.11,97.67,99.58,,
2023-03-24,98.11,98.18,56166470,98.35,96.45,97.58,419956,98.11,98.18,56166470,98.35,96.45,97.58,,
2023-03-27,99.12,98.09,46728148,99.39,97.13,98.27,382065,99.12,98.09,46728148,99.39,97.13,98.27,,
2023-03-28,98.16,97.29,38739410,98.49,96.34,97.37,313968,98.16,97.29,38739410,98.49,96.34,97.37,,
2023-03-29,98.74,100.3,49808171,100.47,98.61,99.86,375796,98.74,100.3,49808171,100.47,98.61,99.86,,
2023-03-30,101.59,102.04,53654851,103.08,101.05,101.96,413471,101.59,102.04,53654851,103.08,101.05,101.96,,
2023-03-31,102.2,103.33,56722997,103.53,101.99,103.01,422311,102.2,103.33,56722997,103.53,101.99,103.01,,
