Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,45.63,46.04,235190,46.06,45.36,45.87,5026,43.8,44.19,235190,44.21,43.54,44.03,,
2023-03-02,45.75,46.4,313774,46.48,45.5,46.17,6747,43.91,44.53,313774,44.61,43.67,44.31,,
2023-03-03,46.31,46.32,234115,46.48,45.73,46.25,6073,44.45,44.46,234115,44.61,43.89,44.39,,
2023-03-06,45.82,44.35,266626,45.89,44.13,44.59,10587,43.98,42.57,266626,44.04,42.36,42.8,,
2023-03-07,44.48,43.91,266197,44.48,43.34,43.84,8936,42.69,42.14,266197,42.69,41.6,42.08,,
2023-03-08,44,44.46,182759,44.49,43.51,44.22,5710,42.23,42.67,182759,42.7,41.76,42.44,,
2023-03-09,44.47,43.41,171913,44.56,43.34,43.75,4429,42.68,41.66,171913,42.77,41.6,41.99,,
2023-03-10,43.22,41.74,228279,43.28,41.34,41.97,5801,41.48,40.06,228279,41.54,39.68,40.28,,
2023-03-13,41.07,40.04,272361,41.35,39.76,40.35,6744,39.42,38.43,272361,39.69,38.16,38.73,,
2023-03-14,41.08,41.04,273990,42.02,40.35,41.04,5866,39.43,39.39,273990,40.33,38.73,39.39,,
2023-03-15,39.98,39.61,342744,40.46,38.54,39.32,6582,38.37,38.02,342744,38.83,36.99,37.74,,
2023-03-16,38.94,39.7,257139,39.75,38.06,39.39,6311,37.37,38.1,257139,38.15,36.53,37.81,,
2023-03-17,39.38,38.17,1053836,39.56,37.46,38.25,6454,37.8,36.64,1053836,37.97,35.95,36.71,,
2023-03-20,38.52,39.19,459430,39.99,38.04,39.34,6232,36.97,37.61,459430,38.38,36.51,37.76,,
2023-03-21,40.04,40.31,362758,40.38,39.51,40.12,6062,38.43,38.69,362758,38.76,37.92,38.51,,
2023-03-22,40.3,39.61,224628,40.85,39.6,40.15,5165,38.68,38.02,224628,39.21,38.01,38.54,,
2023-03-23,39.82,39.23,247647,40.47,38.89,39.39,4946,38.22,37.65,247647,38.84,37.33,37.81,,
2023-03-24,38.62,40.05,161610,40.05,38.52,39.75,3492,37.07,38.44,161610,38.44,36.97,38.15,,
2023-03-27,40.6,40.8,155736,40.97,40.14,40.72,4009,38.97,39.16,155736,39.32,38.53,39.08,,
2023-03-28,40.69,41.65,169192,42.23,40.55,41.68,3763,39.05,39.98,169192,40.53,38.92,40,,
2023-03-29,42.09,41.6,177667,42.09,41.33,41.59,4457,40.4,39.93,177667,40.4,39.67,39.92,,
2023-03-30,41.87,40.83,146212,42.04,40.55,40.95,3549,40.19,39.19,146212,40.35,38.92,39.3,,
2023-03-31,41,41.34,317493,41.66,40.77,41.27,3911,39.53,39.86,317493,40.17,39.31,39.79,0.185,
