Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.78,2.79,1995,2.79,2.772,2.786,32,2.78,2.79,1995,2.79,2.772,2.786,,
2023-03-02,3.74,3.61,34882264,4.31,3.5,3.851,148423,3.74,3.61,34882264,4.31,3.5,3.851,,
2023-03-03,3.24,3.26,1130687,3.56,3.07,3.31,6498,3.24,3.26,1130687,3.56,3.07,3.31,,
2023-03-06,3.07,3.57,294510,3.63,3.05,3.413,2112,3.07,3.57,294510,3.63,3.05,3.413,,
2023-03-07,3.41,3.22,103926,3.56,3.17,3.338,672,3.41,3.22,103926,3.56,3.17,3.338,,
2023-03-08,3.27,3.16,93249,3.292,3.12,3.168,464,3.27,3.16,93249,3.292,3.12,3.168,,
2023-03-09,3.2,3.1,39900,3.2,3.05,3.109,436,3.2,3.1,39900,3.2,3.05,3.109,,
2023-03-10,3.092,3.022,30671,3.122,2.951,3.018,267,3.092,3.022,30671,3.122,2.951,3.018,,
2023-03-13,2.941,3.102,88521,3.102,2.889,3.027,447,2.941,3.102,88521,3.102,2.889,3.027,,
2023-03-14,3.162,3.152,14533,3.162,3.002,3.067,171,3.162,3.152,14533,3.162,3.002,3.067,,
2023-03-15,2.991,3.052,14533,3.122,2.951,3.051,155,2.991,3.052,14533,3.122,2.951,3.051,,
2023-03-16,3.092,3.142,22600,3.142,2.981,3.071,167,3.092,3.142,22600,3.142,2.981,3.071,,
2023-03-17,3.032,2.921,40065,3.122,2.921,2.959,102,3.032,2.921,40065,3.122,2.921,2.959,,
2023-03-20,3.022,3.112,36615,3.152,3.012,3.084,278,3.022,3.112,36615,3.152,3.012,3.084,,
2023-03-21,3.112,3.132,29619,3.282,3.112,3.196,212,3.112,3.132,29619,3.282,3.112,3.196,,
2023-03-22,3.172,3.242,13159,3.272,3.132,3.209,81,3.172,3.242,13159,3.272,3.132,3.209,,
2023-03-23,3.072,3.172,58923,3.442,2.961,3.311,283,3.072,3.172,58923,3.442,2.961,3.311,,
2023-03-24,3.152,3.282,11397,3.312,3.152,3.262,114,3.152,3.282,11397,3.312,3.152,3.262,,
2023-03-27,3.162,3.302,15838,3.302,3.162,3.233,195,3.162,3.302,15838,3.302,3.162,3.233,,
2023-03-28,3.342,3.252,8338,3.342,3.208,3.252,105,3.342,3.252,8338,3.342,3.208,3.252,,
2023-03-29,3.152,3.232,3786,3.302,3.152,3.221,73,3.152,3.232,3786,3.302,3.152,3.221,,
2023-03-30,3.271,3.561,28884,3.561,3.271,3.389,212,3.271,3.561,28884,3.561,3.271,3.389,,
2023-03-31,3.601,3.401,30247,3.661,3.351,3.509,218,3.601,3.401,30247,3.661,3.351,3.509,,
