Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.14,24.2,103191,24.25,23.94,24.15,2605,21.66,21.71,103191,21.76,21.48,21.67,,
2023-03-02,24.03,24,113401,24.03,23.72,23.92,2419,21.56,21.53,113401,21.56,21.28,21.46,,
2023-03-03,24.02,24.21,83955,24.23,23.85,24.13,1855,21.55,21.72,83955,21.74,21.4,21.65,,
2023-03-06,24.23,23.95,102414,24.29,23.77,23.93,2151,21.74,21.49,102414,21.79,21.33,21.47,,
2023-03-07,23.95,23.53,232841,23.95,23.3,23.54,2567,21.49,21.11,232841,21.49,20.9,21.12,,
2023-03-08,23.57,23.52,110624,23.63,23.27,23.46,2570,21.15,21.1,110624,21.2,20.88,21.05,,
2023-03-09,23.39,22.56,216948,23.61,22.42,22.59,4046,20.98,20.24,216948,21.18,20.11,20.27,,
2023-03-10,22.27,22.46,219332,22.82,21.55,22.33,4686,19.98,20.15,219332,20.47,19.33,20.03,,
2023-03-13,21.45,20.92,309360,21.7,20.2,20.96,6632,19.24,18.77,309360,19.47,18.12,18.8,,
2023-03-14,22.41,21.36,305664,22.41,21,21.51,5761,20.1,19.16,305664,20.1,18.84,19.3,,
2023-03-15,20.71,20.83,567914,20.94,20.15,20.62,6183,18.58,18.69,567914,18.79,18.08,18.5,,
2023-03-16,20.59,21.54,324780,21.94,20.15,21.3,6616,18.47,19.32,324780,19.68,18.08,19.11,,
2023-03-17,21.35,20.73,684337,21.35,20.46,20.82,4574,19.15,18.6,684337,19.15,18.36,18.68,,
2023-03-20,21.03,20.75,195193,21.45,20.69,20.92,4659,18.87,18.62,195193,19.24,18.56,18.77,,
2023-03-21,21.29,21.45,169963,22.01,21.18,21.42,2963,19.1,19.24,169963,19.75,19,19.22,,
2023-03-22,21.39,20.45,169784,21.54,20.41,20.83,3041,19.19,18.35,169784,19.32,18.31,18.69,,
2023-03-23,20.62,20.1,213293,20.85,19.96,20.21,3649,18.5,18.03,213293,18.71,17.91,18.13,,
2023-03-24,19.95,20.68,193614,20.73,19.81,20.52,3647,17.9,18.55,193614,18.6,17.77,18.41,,
2023-03-27,21.16,20.85,147024,21.29,20.83,20.93,3330,18.98,18.71,147024,19.1,18.69,18.78,,
2023-03-28,20.74,20.4,137226,20.87,20.27,20.49,2843,18.61,18.3,137226,18.72,18.19,18.38,,
2023-03-29,20.61,20.39,174163,20.61,20.05,20.3,3566,18.49,18.29,174163,18.49,17.99,18.21,,
2023-03-30,20.49,19.99,116213,20.49,19.85,20.02,2439,18.38,17.93,116213,18.38,17.81,17.96,,
2023-03-31,20.07,20.35,246144,20.42,19.96,20.29,2254,18.01,18.26,246144,18.32,17.91,18.2,,
