Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,8.89,8.34,349934,9.05,8,8.408,3910,8.89,8.34,349934,9.05,8,8.408,,
2023-03-02,8.31,8.14,283681,8.479,8.015,8.218,4871,8.31,8.14,283681,8.479,8.015,8.218,,
2023-03-03,8.31,9.1,410816,9.12,8.09,8.896,5560,8.31,9.1,410816,9.12,8.09,8.896,,
2023-03-06,9.07,9.02,281838,9.13,8.79,8.996,3594,9.07,9.02,281838,9.13,8.79,8.996,,
2023-03-07,8.9,8.87,213872,9.32,8.85,8.979,3192,8.9,8.87,213872,9.32,8.85,8.979,,
2023-03-08,8.869,8.929,180831,9.019,8.469,8.771,2969,8.869,8.929,180831,9.019,8.469,8.771,,
2023-03-09,8.999,8.559,268639,9.099,8.549,8.863,4183,8.999,8.559,268639,9.099,8.549,8.863,,
2023-03-10,8.514,7.084,714819,8.649,6.923,7.478,7051,8.514,7.084,714819,8.649,6.923,7.478,,
2023-03-13,6.953,7.364,364722,7.654,6.604,7.267,4586,6.953,7.364,364722,7.654,6.604,7.267,,
2023-03-14,7.434,7.954,297793,7.984,7.434,7.798,3823,7.434,7.954,297793,7.984,7.434,7.798,,
2023-03-15,7.684,7.414,263495,7.764,7.184,7.404,3287,7.684,7.414,263495,7.764,7.184,7.404,,
2023-03-16,7.124,7.754,738319,7.809,5.883,7.087,7118,7.124,7.754,738319,7.809,5.883,7.087,,
2023-03-17,8.164,8.104,217281,8.204,7.394,7.922,2877,8.164,8.104,217281,8.204,7.394,7.922,,
2023-03-20,8.074,7.644,162538,8.119,7.634,7.767,2907,8.074,7.644,162538,8.119,7.634,7.767,,
2023-03-21,7.744,7.734,163744,8.044,7.604,7.782,2530,7.744,7.734,163744,8.044,7.604,7.782,,
2023-03-22,7.744,7.494,193521,8.284,7.464,7.813,2758,7.744,7.494,193521,8.284,7.464,7.813,,
2023-03-23,7.574,7.474,142949,7.984,7.294,7.592,2125,7.574,7.474,142949,7.984,7.294,7.592,,
2023-03-24,7.314,7.534,210397,7.584,7.204,7.42,2648,7.314,7.534,210397,7.584,7.204,7.42,,
2023-03-27,7.584,7.534,139768,7.837,7.315,7.59,1566,7.584,7.534,139768,7.837,7.315,7.59,,
2023-03-28,7.524,7.544,100695,7.954,7.339,7.685,1563,7.524,7.544,100695,7.954,7.339,7.685,,
2023-03-29,7.634,7.574,157826,7.824,7.364,7.572,2484,7.634,7.574,157826,7.824,7.364,7.572,,
2023-03-30,7.623,7.103,453841,7.903,6.943,7.261,4965,7.623,7.103,453841,7.903,6.943,7.261,,
2023-03-31,7.653,8.273,700541,8.553,7.323,8.094,6312,7.653,8.273,700541,8.553,7.323,8.094,,
