Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,202.14,200.78,521154,203.45,200.34,201.22,15405,195.96,194.64,521154,197.23,194.21,195.06,,
2023-03-02,199.8,201.52,517608,202.25,199.17,200.8,12951,193.69,195.35,517608,196.06,193.08,194.66,,
2023-03-03,202.29,201.63,658200,202.57,200.88,201.81,17497,196.1,195.46,658200,196.37,194.73,195.64,,
2023-03-06,201.91,202.99,625393,203.68,201.91,202.97,18129,195.73,196.78,625393,197.45,195.73,196.76,,
2023-03-07,202.98,199.33,468976,203.35,198.68,200.17,16028,196.77,193.23,468976,197.13,192.6,194.05,,
2023-03-08,199.28,199.96,568606,200.4,198.48,199.49,14365,193.18,193.84,568606,194.27,192.41,193.39,,
2023-03-09,200.69,196.19,582357,201.64,196.09,197.83,15701,194.55,190.19,582357,195.47,190.09,191.78,,
2023-03-10,194.73,190.57,699454,194.73,189.24,191.27,20890,188.77,184.74,699454,188.77,183.45,185.42,,
2023-03-13,188.92,188.51,729954,191.8,188.14,189.41,19753,183.14,182.74,729954,185.93,182.38,183.61,,
2023-03-14,190.58,191.4,873015,193.6,189.5,191.48,17814,184.75,185.54,873015,187.68,183.7,185.62,,
2023-03-15,188.07,188.74,927310,190.99,185.23,187.63,19899,182.32,182.97,927310,185.15,179.56,181.89,,
2023-03-16,187.19,193.68,934215,193.89,186.64,192.28,22418,181.46,187.75,934215,187.96,180.93,186.4,,
2023-03-17,193.68,188.14,1623081,193.68,186.59,188.76,21463,187.75,182.38,1623081,187.75,180.88,182.98,,
2023-03-20,188.6,191.54,615392,191.69,188.5,190.94,14394,182.83,185.68,615392,185.83,182.73,185.1,,
2023-03-21,192.78,194.59,621115,195.1,192.47,193.97,16740,186.88,188.64,621115,189.13,186.58,188.04,,
2023-03-22,194.13,190.78,574767,195.73,190.7,193.31,12577,188.19,184.94,574767,189.74,184.87,187.4,,
2023-03-23,191.3,191.2,690233,193.89,189.51,191.7,16322,185.45,185.35,690233,187.96,183.71,185.83,,
2023-03-24,190.46,191.81,580845,191.81,187.66,190.54,13642,184.63,185.94,580845,185.94,181.92,184.71,,
2023-03-27,192.72,191.77,768613,194.28,191.34,192.6,16990,186.82,185.9,768613,188.34,185.49,186.71,,
2023-03-28,190.99,185.91,955866,191.31,184.43,186.04,22166,185.15,180.22,955866,185.46,178.79,180.35,,
2023-03-29,187.34,188.39,586193,188.72,186.5,188.05,14498,181.61,182.63,586193,182.95,180.79,182.3,,
2023-03-30,190.16,190.15,695663,190.94,189.28,190.11,13903,184.34,184.33,695663,185.1,183.49,184.29,,
2023-03-31,190.57,194.97,945474,195.12,190.23,193.57,18027,184.74,189,945474,189.15,184.41,187.65,,
