Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,32.55,33.11,288898,33.22,32.26,32.94,6932,32.55,33.11,288898,33.22,32.26,32.94,,
2023-03-02,33.06,34.06,457421,34.28,32.91,33.93,7454,33.06,34.06,457421,34.28,32.91,33.93,,
2023-03-03,34.37,34.72,279571,34.95,33.79,34.6,5916,34.37,34.72,279571,34.95,33.79,34.6,,
2023-03-06,34.78,34.49,325012,35.21,34.2,34.52,7988,34.78,34.49,325012,35.21,34.2,34.52,,
2023-03-07,34.5,34.1,275263,34.91,33.97,34.17,7711,34.5,34.1,275263,34.91,33.97,34.17,,
2023-03-08,33.9,33.82,341487,34,33.04,33.66,7534,33.9,33.82,341487,34,33.04,33.66,,
2023-03-09,33.83,32.39,476297,33.92,32.32,32.79,9667,33.83,32.39,476297,33.92,32.32,32.79,,
2023-03-10,32.33,31.31,349129,32.56,31.01,31.47,7836,32.33,31.31,349129,32.56,31.01,31.47,,
2023-03-13,30.85,30.53,494477,31.08,30.35,30.65,8821,30.85,30.53,494477,31.08,30.35,30.65,,
2023-03-14,31.63,31.89,482928,32.01,31.23,31.69,9595,31.63,31.89,482928,32.01,31.23,31.69,,
2023-03-15,31.14,32.07,857151,32.19,31.04,31.71,8737,31.14,32.07,857151,32.19,31.04,31.71,,
2023-03-16,31.63,32.03,286432,32.44,31.29,31.99,7175,31.63,32.03,286432,32.44,31.29,31.99,,
2023-03-17,31.67,31.9,1154703,32.15,31.58,31.86,11831,31.67,31.9,1154703,32.15,31.58,31.86,,
2023-03-20,31.97,33.54,414012,33.69,31.93,33.31,7382,31.97,33.54,414012,33.69,31.93,33.31,,
2023-03-21,33.92,34.56,482536,34.6,33.86,34.32,8264,33.92,34.56,482536,34.6,33.86,34.32,,
2023-03-22,34.5,33.78,670819,35.03,33.77,34.25,7675,34.5,33.78,670819,35.03,33.77,34.25,,
2023-03-23,33.8,32.21,441047,34.16,31.89,32.77,8033,33.8,32.21,441047,34.16,31.89,32.77,,
2023-03-24,31.97,32.69,369101,32.97,31.67,32.46,5678,31.97,32.69,369101,32.97,31.67,32.46,,
2023-03-27,32.99,33.07,227968,33.23,32.6,32.95,5161,32.99,33.07,227968,33.23,32.6,32.95,,
2023-03-28,33.07,33.74,283452,33.94,32.99,33.62,4609,33.07,33.74,283452,33.94,32.99,33.62,,
2023-03-29,34.02,33.76,243463,34.3,33.51,33.8,3777,34.02,33.76,243463,34.3,33.51,33.8,,
2023-03-30,34.09,33.7,195456,34.37,33.54,33.89,4253,34.09,33.7,195456,34.37,33.54,33.89,,
2023-03-31,34,34.06,272348,34.27,33.79,34.07,4485,34,34.06,272348,34.27,33.79,34.07,,
