Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-03,9.9,9.9,270,9.9,9.9,9.938,17,9.9,9.9,270,9.9,9.9,9.938,,
2023-03-07,9.9,9.85,723,9.93,9.65,9.762,24,9.9,9.85,723,9.93,9.65,9.762,,
2023-03-08,9.776,10.01,2201,10.03,9.749,9.838,37,9.776,10.01,2201,10.03,9.749,9.838,,
2023-03-13,9.616,9.605,849,9.616,9.605,9.701,32,9.616,9.605,849,9.616,9.605,9.701,,
2023-03-14,9.863,9.585,867,9.863,9.585,9.769,33,9.863,9.585,867,9.863,9.585,9.769,,
2023-03-15,9.965,9.555,1376,9.965,9.555,9.623,33,9.965,9.555,1376,9.965,9.555,9.623,,
2023-03-16,9.865,9.865,164,9.865,9.865,9.839,12,9.865,9.865,164,9.865,9.865,9.839,,
2023-03-17,9.935,9.935,548,9.935,9.935,9.931,8,9.935,9.935,548,9.935,9.935,9.931,,
2023-03-20,9.855,9.855,178,9.855,9.855,9.815,37,9.855,9.855,178,9.855,9.855,9.815,,
2023-03-22,9.615,9.515,2129,9.815,9.515,9.558,17,9.615,9.515,2129,9.815,9.515,9.558,,
2023-03-23,9.715,9.515,534,9.718,9.515,9.661,14,9.715,9.515,534,9.718,9.515,9.661,,
2023-03-24,9.665,9.385,1477,9.665,9.385,9.537,41,9.665,9.385,1477,9.665,9.385,9.537,,
2023-03-27,9.505,9.155,1385,9.505,9.155,9.281,63,9.505,9.155,1385,9.505,9.155,9.281,,
2023-03-28,8.604,9.235,5246,9.255,8.604,8.934,38,8.604,9.235,5246,9.255,8.604,8.934,,
2023-03-29,9.215,9.215,151,9.215,9.215,9.129,5,9.215,9.215,151,9.215,9.215,9.129,,
2023-03-30,9.214,9.099,629,9.214,9.099,9.18,16,9.214,9.099,629,9.214,9.099,9.18,,
2023-03-31,9.204,9.434,4761,9.434,9.064,9.199,42,9.204,9.434,4761,9.434,9.064,9.199,,
