Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.25,1.205,66649,1.25,1.2,1.214,370,1.25,1.205,66649,1.25,1.2,1.214,,
2023-03-02,1.21,1.17,195608,1.21,1.17,1.193,799,1.21,1.17,195608,1.21,1.17,1.193,,
2023-03-03,1.19,1.27,117835,1.28,1.17,1.242,467,1.19,1.27,117835,1.28,1.17,1.242,,
2023-03-06,1.24,1.3,121296,1.33,1.24,1.288,475,1.24,1.3,121296,1.33,1.24,1.288,,
2023-03-07,1.31,1.28,56580,1.31,1.25,1.268,334,1.31,1.28,56580,1.31,1.25,1.268,,
2023-03-08,1.29,1.23,95284,1.304,1.21,1.25,447,1.29,1.23,95284,1.304,1.21,1.25,,
2023-03-09,1.23,1.19,203729,1.24,1.15,1.188,618,1.23,1.19,203729,1.24,1.15,1.188,,
2023-03-10,1.231,1.081,501306,1.309,1.061,1.101,944,1.231,1.081,501306,1.309,1.061,1.101,,
2023-03-13,1.081,1.051,281534,1.161,1.041,1.079,1024,1.081,1.051,281534,1.161,1.041,1.079,,
2023-03-14,1.111,1.031,331908,1.131,1,1.039,1301,1.111,1.031,331908,1.131,1,1.039,,
2023-03-15,1.071,0.9805,168196,1.071,0.9805,1.007,489,1.071,0.9805,168196,1.071,0.9805,1.007,,
2023-03-16,1,0.9595,282684,1.041,0.9305,0.9569,682,1,0.9595,282684,1.041,0.9305,0.9569,,
2023-03-17,0.9834,1.041,210225,1.061,0.9705,1.019,518,0.9834,1.041,210225,1.061,0.9705,1.019,,
2023-03-20,1.031,0.9725,133062,1.031,0.9725,0.9993,544,1.031,0.9725,133062,1.031,0.9725,0.9993,,
2023-03-21,0.9605,1.021,95508,1.051,0.9605,1.011,296,0.9605,1.021,95508,1.051,0.9605,1.011,,
2023-03-22,1.021,1.011,50993,1.041,0.9805,1.011,217,1.021,1.011,50993,1.041,0.9805,1.011,,
2023-03-23,1.011,1.021,68481,1.031,0.9805,1.008,463,1.011,1.021,68481,1.031,0.9805,1.008,,
2023-03-24,1.011,0.9705,67940,1.021,0.9705,0.9883,357,1.011,0.9705,67940,1.021,0.9705,0.9883,,
2023-03-27,0.9805,0.9505,110559,0.9985,0.9505,0.9682,524,0.9805,0.9505,110559,0.9985,0.9505,0.9682,,
2023-03-28,0.9379,0.9304,153043,0.9926,0.9004,0.9435,602,0.9379,0.9304,153043,0.9926,0.9004,0.9435,,
2023-03-29,0.9029,0.9605,128513,1.006,0.9029,0.9644,249,0.9029,0.9605,128513,1.006,0.9029,0.9644,,
2023-03-30,0.9627,0.9574,87496,0.9843,0.9478,0.9587,349,0.9627,0.9574,87496,0.9843,0.9478,0.9587,,
2023-03-31,0.9804,1.04,189997,1.05,0.9804,1.026,638,0.9804,1.04,189997,1.05,0.9804,1.026,,
