Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,45.68,45.91,649789,45.98,45.14,45.7,7923,38.18,38.37,649789,38.43,37.72,38.19,,
2023-03-02,45.69,45.63,708526,45.69,45.12,45.4,7981,38.18,38.13,708526,38.18,37.71,37.94,,
2023-03-03,45.66,46.39,742710,46.43,45.64,46.18,8878,38.16,38.77,742710,38.8,38.14,38.59,,
2023-03-06,46.39,46.3,707254,46.72,46.15,46.43,7891,38.77,38.69,707254,39.05,38.57,38.8,,
2023-03-07,46.18,44.91,868021,46.22,44.81,45.22,9783,38.59,37.53,868021,38.63,37.45,37.79,,
2023-03-08,44.91,44.48,673795,44.91,44.21,44.48,7791,37.53,37.17,673795,37.53,36.95,37.17,,
2023-03-09,44.31,42.54,1592745,44.43,42.36,43.04,17659,37.03,35.55,1592745,37.13,35.4,35.97,,
2023-03-10,42.23,41.75,2298582,42.68,41.57,42.01,21227,35.29,34.89,2298582,35.67,34.74,35.11,,
2023-03-13,40.94,41.4,2797368,41.84,39.99,41.22,27759,34.21,34.6,2797368,34.97,33.42,34.45,,
2023-03-14,42.62,42.01,2230932,42.67,41.53,41.92,20632,35.62,35.11,2230932,35.66,34.71,35.03,,
2023-03-15,40.89,41.14,1753562,41.15,40.41,40.82,17281,34.17,34.38,1753562,34.39,33.77,34.11,,
2023-03-16,40.71,41.76,1614009,42.15,40.52,41.56,16384,34.02,34.9,1614009,35.23,33.86,34.73,,
2023-03-17,41.57,41.54,1658176,41.83,41.29,41.55,14991,34.74,34.72,1658176,34.96,34.51,34.72,,
2023-03-20,41.99,41.61,1636393,42.32,41.3,41.68,15906,35.09,34.77,1636393,35.37,34.52,34.83,,
2023-03-21,42.49,42.08,929092,42.54,41.98,42.18,9869,35.51,35.17,929092,35.55,35.08,35.25,,
2023-03-22,42.16,41.83,1043569,42.75,41.81,42.24,9780,35.23,34.96,1043569,35.73,34.94,35.3,,
2023-03-23,42.16,41.41,6009724,42.45,41.26,42.1,12357,35.23,34.61,6009724,35.48,34.48,35.18,,
2023-03-24,40.94,41.34,5239839,41.36,40.55,40.68,12182,34.21,34.55,5239839,34.57,33.89,34,,
2023-03-27,41.52,41.22,2136722,41.53,40.93,41.12,11430,35.43,35.17,2136722,35.44,34.92,35.09,0.85,
2023-03-28,41.3,41.25,890400,41.46,40.91,41.22,8317,35.24,35.2,890400,35.38,34.91,35.17,,
2023-03-29,41.57,41.8,1306956,41.96,41.57,41.78,11591,35.47,35.67,1306956,35.8,35.47,35.65,,
2023-03-30,42.08,42.04,1005646,42.33,41.91,42.09,9360,35.91,35.87,1005646,36.12,35.76,35.91,,
2023-03-31,42.25,42.44,869155,42.54,42.18,42.31,8246,36.05,36.21,869155,36.3,35.99,36.1,,
