Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.55,1.47,38790,1.55,1.445,1.487,185,6.2,5.88,9698,6.2,5.78,5.948,,
2023-03-02,1.43,1.4,36658,1.47,1.4,1.435,219,5.72,5.6,9165,5.88,5.6,5.74,,
2023-03-03,1.42,1.42,24389,1.44,1.38,1.412,150,5.68,5.68,6097,5.76,5.52,5.648,,
2023-03-06,1.391,1.38,91994,1.5,1.38,1.438,360,5.564,5.52,22999,6,5.52,5.752,,
2023-03-07,1.46,1.3,43531,1.46,1.25,1.343,271,5.84,5.2,10883,5.84,5,5.372,,
2023-03-08,1.28,1.26,67780,1.3,1.25,1.282,247,5.12,5.04,16945,5.2,5,5.128,,
2023-03-09,1.26,1.34,190000,1.36,1.26,1.331,409,5.04,5.36,47500,5.44,5.04,5.324,,
2023-03-10,1.321,1.261,32351,1.351,1.252,1.293,140,5.284,5.044,8088,5.404,5.008,5.172,,
2023-03-13,1.231,1.421,138629,1.491,1.231,1.397,360,4.924,5.684,34657,5.964,4.924,5.588,,
2023-03-14,1.471,1.611,221992,1.741,1.414,1.634,679,5.884,6.444,55498,6.964,5.656,6.536,,
2023-03-15,1.621,1.521,55882,1.621,1.501,1.548,199,6.484,6.084,13971,6.484,6.004,6.192,,
2023-03-16,1.471,1.731,102651,1.791,1.471,1.708,431,5.884,6.924,25663,7.164,5.884,6.832,,
2023-03-17,1.781,1.731,29440,1.781,1.701,1.727,169,7.124,6.924,7360,7.124,6.804,6.908,,
2023-03-20,1.721,1.791,64042,1.791,1.621,1.727,315,6.884,7.164,16011,7.164,6.484,6.908,,
2023-03-21,1.871,1.881,163453,1.991,1.811,1.924,416,7.484,7.524,40863,7.964,7.244,7.696,,
2023-03-22,1.881,1.961,100096,1.971,1.811,1.92,329,7.524,7.844,25024,7.884,7.244,7.68,,
2023-03-23,1.901,2.001,89223,2.071,1.851,1.944,396,7.604,8.004,22306,8.284,7.404,7.776,,
2023-03-24,1.981,2.021,90517,2.031,1.861,1.958,307,7.924,8.084,22629,8.124,7.444,7.832,,
2023-03-27,1.961,1.741,57486,2.019,1.721,1.864,313,7.844,6.964,14372,8.076,6.884,7.456,,
2023-03-28,1.941,2.051,731970,2.191,1.821,2.018,2501,7.764,8.204,182993,8.764,7.284,8.072,,
2023-03-29,2.031,1.671,340849,2.031,1.601,1.785,1224,8.124,6.684,85212,8.124,6.404,7.14,,
2023-03-30,1.661,1.726,164315,1.861,1.551,1.7,689,6.644,6.904,41079,7.444,6.204,6.8,,
2023-03-31,1.721,1.701,20692,1.841,1.671,1.726,174,6.884,6.804,5173,7.364,6.684,6.904,,
