Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.1,22.86,446474,25.63,21.73,22.67,7712,25.1,22.86,446474,25.63,21.73,22.67,,
2023-03-02,22.5,23.64,164134,23.74,22.41,23.36,3420,22.5,23.64,164134,23.74,22.41,23.36,,
2023-03-03,23.91,24.68,296281,24.83,23.85,24.53,5417,23.91,24.68,296281,24.83,23.85,24.53,,
2023-03-06,24.73,24.28,180396,25.12,24.24,24.63,3818,24.73,24.28,180396,25.12,24.24,24.63,,
2023-03-07,24.16,22.61,192573,24.16,22.06,22.6,4146,24.16,22.61,192573,24.16,22.06,22.6,,
2023-03-08,22.63,21.69,155587,22.63,21.57,21.89,3971,22.63,21.69,155587,22.63,21.57,21.89,,
2023-03-09,21.62,21.28,196934,22.15,21.15,21.51,5267,21.62,21.28,196934,22.15,21.15,21.51,,
2023-03-10,21.26,19.48,290342,22.05,19.41,19.88,5192,21.26,19.48,290342,22.05,19.41,19.88,,
2023-03-13,19.16,20,333552,20.56,18.8,19.98,7360,19.16,20,333552,20.56,18.8,19.98,,
2023-03-14,20.84,21.7,211325,21.77,20.64,21.16,4645,20.84,21.7,211325,21.77,20.64,21.16,,
2023-03-15,21.07,22.66,170457,22.84,20.87,22.33,4117,21.07,22.66,170457,22.84,20.87,22.33,,
2023-03-16,22.23,22.4,111355,22.94,22.09,22.5,3970,22.23,22.4,111355,22.94,22.09,22.5,,
2023-03-17,22.24,21.41,195634,22.31,21.01,21.56,3260,22.24,21.41,195634,22.31,21.01,21.56,,
2023-03-20,21.6,21.34,122202,21.6,20.88,21.24,2693,21.6,21.34,122202,21.6,20.88,21.24,,
2023-03-21,21.83,22.4,130959,22.64,21.62,22.38,3135,21.83,22.4,130959,22.64,21.62,22.38,,
2023-03-22,22.39,21.57,114055,22.88,21.56,22.22,2704,22.39,21.57,114055,22.88,21.56,22.22,,
2023-03-23,21.8,22.17,135358,22.65,21.62,22.21,3193,21.8,22.17,135358,22.65,21.62,22.21,,
2023-03-24,21.82,22.52,113984,22.76,21.13,22.4,3565,21.82,22.52,113984,22.76,21.13,22.4,,
2023-03-27,22.91,22.64,85219,22.91,22.51,22.71,2189,22.91,22.64,85219,22.91,22.51,22.71,,
2023-03-28,22.43,22.21,82820,22.52,22.09,22.28,2032,22.43,22.21,82820,22.52,22.09,22.28,,
2023-03-29,22.56,22.46,150619,22.86,21.99,22.39,2836,22.56,22.46,150619,22.86,21.99,22.39,,
2023-03-30,22.71,22.24,88561,22.71,22.05,22.2,2515,22.71,22.24,88561,22.71,22.05,22.2,,
2023-03-31,22.42,22.73,190657,23.22,22.28,22.74,2500,22.42,22.73,190657,23.22,22.28,22.74,,
