Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,24.91,25.24,9049721,25.41,24.61,25.13,63716,22.45,22.74,9049721,22.9,22.18,22.65,,
2023-03-02,25.23,25.81,7973788,25.95,25.09,25.63,56133,22.74,23.26,7973788,23.38,22.61,23.1,,
2023-03-03,25.58,26.34,9134938,26.51,25.41,26.33,68888,23.05,23.74,9134938,23.89,22.9,23.73,,
2023-03-06,25.87,25.66,9020202,26,25.46,25.69,66263,23.31,23.12,9020202,23.43,22.94,23.15,,
2023-03-07,25.68,25.87,8907905,26.04,25.45,25.83,58200,23.14,23.31,8907905,23.47,22.93,23.28,,
2023-03-08,25.72,25.15,11968511,26.09,24.93,25.34,81070,23.18,22.66,11968511,23.51,22.46,22.83,,
2023-03-09,25.39,25.11,12825024,25.91,25.04,25.29,79310,22.88,22.63,12825024,23.35,22.56,22.79,,
2023-03-10,25.1,24.6,11122605,25.3,24.37,24.78,82249,22.62,22.17,11122605,22.8,21.96,22.33,,
2023-03-13,23.97,24.48,14045072,25.05,23.67,24.56,108973,21.6,22.06,14045072,22.57,21.33,22.13,,
2023-03-14,24.52,24.9,11061140,25.42,24.42,24.96,80821,22.1,22.44,11061140,22.91,22.01,22.49,,
2023-03-15,23.46,22.79,17347988,23.65,22.26,22.82,132444,21.63,21.02,17347988,21.81,20.53,21.04,0.2,
2023-03-16,22.37,23.52,10887478,23.53,22.27,23.24,86187,20.63,21.69,10887478,21.7,20.54,21.43,,
2023-03-17,23.5,23.2,36622505,23.88,22.89,23.22,108806,21.67,21.39,36622505,22.02,21.11,21.41,,
2023-03-20,23.15,23.6,7935375,23.83,23.07,23.59,65473,21.35,21.76,7935375,21.97,21.27,21.75,,
2023-03-21,23.94,24.14,7157618,24.28,23.74,24.07,57621,22.08,22.26,7157618,22.39,21.89,22.2,,
2023-03-22,24.12,23.51,8009143,24.21,23.5,23.81,58306,22.24,21.68,8009143,22.32,21.67,21.96,,
2023-03-23,23.51,23.11,11267845,23.81,22.85,23.25,74739,21.68,21.31,11267845,21.96,21.07,21.44,,
2023-03-24,22.82,23.69,11476117,23.73,22.67,23.31,82177,21.04,21.85,11476117,21.88,20.9,21.49,,
2023-03-27,23.76,23.77,9410961,24.06,23.42,23.78,65671,21.91,21.92,9410961,22.19,21.6,21.93,,
2023-03-28,23.72,23.99,6011131,24.2,23.64,24.01,40299,21.87,22.12,6011131,22.32,21.8,22.14,,
2023-03-29,24.28,24.12,6094547,24.32,23.91,24.13,41770,22.39,22.24,6094547,22.43,22.05,22.25,,
2023-03-30,24.28,24.05,7308644,24.32,23.7,23.95,57164,22.39,22.18,7308644,22.43,21.85,22.08,,
2023-03-31,24.32,24.55,7833047,24.7,24.2,24.52,50069,22.43,22.64,7833047,22.78,22.32,22.61,,
