Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,3.09,3.22,55644,3.24,3.09,3.177,429,3.09,3.22,55644,3.24,3.09,3.177,,
2023-03-02,3.24,3.12,31245,3.24,3.09,3.152,224,3.24,3.12,31245,3.24,3.09,3.152,,
2023-03-03,3.1,3.29,36698,3.305,3.091,3.228,525,3.1,3.29,36698,3.305,3.091,3.228,,
2023-03-06,3.31,3.16,51007,3.46,3.13,3.248,541,3.31,3.16,51007,3.46,3.13,3.248,,
2023-03-07,3.14,3.8,473030,4.2,3.14,3.871,2282,3.14,3.8,473030,4.2,3.14,3.871,,
2023-03-08,3.86,3.73,155509,3.89,3.6,3.726,931,3.86,3.73,155509,3.89,3.6,3.726,,
2023-03-09,3.71,3.58,59893,3.91,3.52,3.616,809,3.71,3.58,59893,3.91,3.52,3.616,,
2023-03-10,3.662,3.582,62714,3.732,3.472,3.592,722,3.662,3.582,62714,3.732,3.472,3.592,,
2023-03-13,3.582,3.277,99324,3.582,3.212,3.393,964,3.582,3.277,99324,3.582,3.212,3.393,,
2023-03-14,3.332,3.432,76679,3.617,3.332,3.493,1270,3.332,3.432,76679,3.617,3.332,3.493,,
2023-03-15,3.292,3.202,56074,3.382,3.082,3.235,514,3.292,3.202,56074,3.382,3.082,3.235,,
2023-03-16,3.202,3.252,53202,3.289,3.177,3.231,553,3.202,3.252,53202,3.289,3.177,3.231,,
2023-03-17,3.232,3.132,47349,3.252,3.082,3.154,744,3.232,3.132,47349,3.252,3.082,3.154,,
2023-03-20,3.162,3.222,62839,3.269,3.102,3.189,833,3.162,3.222,62839,3.269,3.102,3.189,,
2023-03-21,3.262,3.322,38644,3.392,3.202,3.327,556,3.262,3.322,38644,3.392,3.202,3.327,,
2023-03-22,3.342,3.352,27239,3.392,3.232,3.308,341,3.342,3.352,27239,3.392,3.232,3.308,,
2023-03-23,3.312,3.322,33595,3.433,3.302,3.366,435,3.312,3.322,33595,3.433,3.302,3.366,,
2023-03-24,3.272,3.402,58658,3.46,3.222,3.393,759,3.272,3.402,58658,3.46,3.222,3.393,,
2023-03-27,3.372,3.272,32791,3.382,3.232,3.321,488,3.372,3.272,32791,3.382,3.232,3.321,,
2023-03-28,3.272,3.372,26983,3.417,3.242,3.327,402,3.272,3.372,26983,3.417,3.242,3.327,,
2023-03-29,3.402,3.412,28648,3.452,3.347,3.422,354,3.402,3.412,28648,3.452,3.347,3.422,,
2023-03-30,3.421,3.431,47171,3.481,3.401,3.43,552,3.421,3.431,47171,3.481,3.401,3.43,,
2023-03-31,3.414,3.371,95369,3.501,3.311,3.37,755,3.414,3.371,95369,3.501,3.311,3.37,,
