Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.8,2.84,175056,2.99,2.76,2.837,1071,2.8,2.84,175056,2.99,2.76,2.837,,
2023-03-02,2.84,3,103826,3,2.81,2.933,619,2.84,3,103826,3,2.81,2.933,,
2023-03-03,3.02,2.93,37092,3.055,2.87,2.924,671,3.02,2.93,37092,3.055,2.87,2.924,,
2023-03-06,2.93,2.87,54632,3.12,2.85,2.886,662,2.93,2.87,54632,3.12,2.85,2.886,,
2023-03-07,2.88,2.8,87065,2.925,2.69,2.799,1056,2.88,2.8,87065,2.925,2.69,2.799,,
2023-03-08,2.95,2.79,43760,2.95,2.76,2.822,958,2.95,2.79,43760,2.95,2.76,2.822,,
2023-03-09,2.81,2.64,122715,2.81,2.52,2.645,1188,2.81,2.64,122715,2.81,2.52,2.645,,
2023-03-10,2.621,2.411,236511,2.621,2.251,2.397,1743,2.621,2.411,236511,2.621,2.251,2.397,,
2023-03-13,2.391,2.681,347541,2.731,2.361,2.622,2157,2.391,2.681,347541,2.731,2.361,2.622,,
2023-03-14,2.891,2.761,394755,3.012,2.651,2.784,4504,2.891,2.761,394755,3.012,2.651,2.784,,
2023-03-15,2.731,3.122,471271,3.172,2.731,3.022,3549,2.731,3.122,471271,3.172,2.731,3.022,,
2023-03-16,3.102,3.092,182644,3.122,3.012,3.093,1718,3.102,3.092,182644,3.122,3.012,3.093,,
2023-03-17,3.092,3.042,228041,3.152,2.961,3.048,1017,3.092,3.042,228041,3.152,2.961,3.048,,
2023-03-20,3.032,3.092,167187,3.162,2.961,3.05,1266,3.032,3.092,167187,3.162,2.961,3.05,,
2023-03-21,3.132,3.382,293107,3.462,3.052,3.338,2253,3.132,3.382,293107,3.462,3.052,3.338,,
2023-03-22,3.382,3.312,161834,3.522,3.297,3.4,1518,3.382,3.312,161834,3.522,3.297,3.4,,
2023-03-23,3.412,3.302,147196,3.412,3.162,3.293,1567,3.412,3.302,147196,3.412,3.162,3.293,,
2023-03-24,3.237,3.322,140060,3.332,3.193,3.294,1396,3.237,3.322,140060,3.332,3.193,3.294,,
2023-03-27,3.302,3.122,107818,3.302,3.102,3.173,1031,3.302,3.122,107818,3.302,3.102,3.173,,
2023-03-28,3.052,3.462,432001,3.472,3.012,3.359,2509,3.052,3.462,432001,3.472,3.012,3.359,,
2023-03-29,3.592,3.467,444263,3.682,3.442,3.54,2663,3.592,3.467,444263,3.682,3.442,3.54,,
2023-03-30,3.501,3.541,215603,3.571,3.481,3.526,1516,3.501,3.541,215603,3.571,3.481,3.526,,
2023-03-31,3.601,3.571,281646,3.601,3.441,3.554,1559,3.601,3.571,281646,3.601,3.441,3.554,,
