Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,31.35,30.8,964895,31.63,30.58,30.95,12771,26.94,26.47,964895,27.18,26.28,26.6,,
2023-03-02,30.69,30.99,766482,31.14,30.39,30.88,11337,26.37,26.63,766482,26.76,26.11,26.54,,
2023-03-03,31.14,31.7,819738,31.74,30.76,31.47,10998,26.76,27.24,819738,27.27,26.43,27.04,,
2023-03-06,31.61,31.42,659425,31.77,31.2,31.44,10374,27.16,27,659425,27.3,26.81,27.02,,
2023-03-07,31.69,31.27,871981,31.84,31.24,31.4,10817,27.23,26.87,871981,27.36,26.84,26.98,,
2023-03-08,31.27,31.19,461534,31.46,30.89,31.14,7068,26.87,26.8,461534,27.03,26.54,26.76,,
2023-03-09,31.17,30.53,464573,31.45,30.46,30.84,7473,26.78,26.23,464573,27.02,26.17,26.5,,
2023-03-10,30.55,29.74,621988,30.61,29.65,29.96,10531,26.25,25.56,621988,26.3,25.48,25.74,,
2023-03-13,29.63,30.07,764255,30.78,29.37,30.19,14443,25.46,25.84,764255,26.45,25.24,25.94,,
2023-03-14,30.74,30.97,1353222,31.47,30.65,31.01,18247,26.41,26.61,1353222,27.04,26.34,26.65,,
2023-03-15,30.72,30.99,1415296,31.44,30.49,31.03,17230,26.4,26.63,1415296,27.02,26.2,26.66,,
2023-03-16,30.7,30.54,896233,30.87,30.13,30.51,13287,26.38,26.24,896233,26.53,25.89,26.22,,
2023-03-17,30.24,30.22,1504098,30.28,29.69,30.11,12835,25.99,25.97,1504098,26.02,25.51,25.87,,
2023-03-20,30.34,30.33,1016397,30.72,30.1,30.42,12668,26.07,26.06,1016397,26.4,25.86,26.14,,
2023-03-21,30.75,30.25,1145440,30.79,29.97,30.27,15410,26.42,25.99,1145440,26.46,25.75,26.01,,
2023-03-22,30.08,29.6,989426,30.23,29.57,29.8,13441,25.85,25.44,989426,25.98,25.41,25.61,,
2023-03-23,29.73,29.18,783705,30.15,29.04,29.55,12049,25.55,25.07,783705,25.91,24.95,25.39,,
2023-03-24,29.11,30.19,687181,30.2,28.95,29.83,9450,25.01,25.94,687181,25.95,24.88,25.63,,
2023-03-27,30.48,30.73,786370,30.83,30.24,30.62,11738,26.19,26.41,786370,26.49,25.99,26.31,,
2023-03-28,30.65,30.81,683421,31.07,30.55,30.85,10239,26.34,26.47,683421,26.7,26.25,26.51,,
2023-03-29,31.03,31.22,2140580,31.37,30.97,31.22,14573,26.66,26.83,2140580,26.96,26.61,26.83,,
2023-03-30,31.46,30.94,924048,31.64,30.76,31.02,13044,27.03,26.59,924048,27.19,26.43,26.66,,
2023-03-31,31.09,31.34,1416013,31.41,30.87,31.13,13400,26.72,26.93,1416013,26.99,26.53,26.75,,
