Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,163.63,169.51,2097,171.06,163.63,168.48,115,161.16,166.95,2097,168.47,161.16,165.93,,
2023-03-02,164.51,170.04,871,170.86,164.51,167.76,57,162.02,167.47,871,168.28,162.02,165.22,,
2023-03-03,173.66,173.47,100,173.66,173.47,171.37,26,171.03,170.85,100,171.03,170.85,168.78,,
2023-03-06,169.99,161.22,493,174.3,161.22,170.25,30,167.42,158.78,493,171.66,158.78,167.67,,
2023-03-07,166.22,172.76,74,172.76,166.22,169.07,17,163.71,170.15,74,170.15,163.71,166.51,,
2023-03-08,166.26,169.39,191,169.39,166.26,169.25,30,163.75,166.83,191,166.83,163.75,166.69,,
2023-03-09,168.85,163.57,144,168.85,162.61,165.79,31,166.3,161.1,144,166.3,160.15,163.28,,
2023-03-10,163.67,166.21,1117,169.03,163.67,164.58,39,161.19,163.7,1117,166.47,161.19,162.09,,
2023-03-13,168.92,167.59,685,168.92,167.59,168.14,55,166.37,165.06,685,166.37,165.06,165.6,,
2023-03-14,168.78,168.35,220,168.92,168.08,168.48,36,166.23,165.8,220,166.37,165.54,165.93,,
2023-03-15,167.33,163.28,294,168.27,163.28,167.4,19,164.8,160.81,294,165.72,160.81,164.87,,
2023-03-16,167.08,167.08,23,167.08,167.08,166.8,12,164.55,164.55,23,164.55,164.55,164.28,,
2023-03-17,169.08,167.61,190,169.08,167.08,167.38,27,166.52,165.07,190,166.52,164.55,164.85,,
2023-03-20,169.06,169.26,108,169.26,166.95,167.8,48,166.5,166.7,108,166.7,164.42,165.26,,
2023-03-21,168.36,169.44,711,172.28,165.58,168.77,66,165.81,166.88,711,169.67,163.08,166.22,,
2023-03-22,172.06,168.07,2435,172.06,166.88,169.62,78,169.46,165.53,2435,169.46,164.36,167.05,,
2023-03-23,170.07,178.85,974,182.09,170.07,178.06,107,167.5,176.14,974,179.34,167.5,175.37,,
2023-03-24,172.89,177.1,1174,178.88,172.88,176.39,37,170.28,174.42,1174,176.17,170.27,173.72,,
2023-03-27,177.08,175.1,505,177.08,171.85,175.23,19,174.4,172.45,505,174.4,169.25,172.58,,
2023-03-28,175.1,175.1,68,175.1,175.1,175.85,14,172.45,172.45,68,172.45,172.45,173.19,,
2023-03-29,176.53,175.64,60,176.53,175.64,175.88,14,173.86,172.98,60,173.86,172.98,173.22,,
2023-03-30,173.95,175.17,42,175.96,173.95,175.74,10,171.32,172.52,42,173.3,171.32,173.08,,
2023-03-31,176.13,167.07,1543,176.13,165.09,169.42,99,173.47,164.54,1543,173.47,162.59,166.86,,
