Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,53.82,54.74,9308078,55.05,53.56,54.61,84916,48.31,49.13,9308078,49.41,48.07,49.02,,
2023-03-02,54.25,55.7,8666721,56,54.2,55.39,81371,48.69,49.99,8666721,50.26,48.65,49.72,,
2023-03-03,54.91,56.67,10997779,57.13,54.78,56.46,97590,49.29,50.86,10997779,51.28,49.17,50.68,,
2023-03-06,56.16,56.49,8926267,56.8,55.87,56.31,87515,50.41,50.7,8926267,50.98,50.15,50.54,,
2023-03-07,56.11,55.03,9492546,56.34,54.76,55.36,96642,50.36,49.39,9492546,50.57,49.15,49.69,,
2023-03-08,54.68,54.49,8378291,55.57,54,54.6,84341,49.08,48.91,8378291,49.88,48.47,49.01,,
2023-03-09,54.81,52.97,9274273,55.36,52.84,53.8,88070,49.2,47.54,9274273,49.69,47.43,48.29,,
2023-03-10,52.88,51.79,12357297,53.7,51.37,52.32,115829,47.46,46.48,12357297,48.2,46.11,46.96,,
2023-03-13,50.02,50,15457452,51.1,49.04,50.25,148165,44.9,44.88,15457452,45.87,44.02,45.1,,
2023-03-14,49.03,49.24,12448691,50.87,48.33,49.63,111521,44.8,44.99,12448691,46.48,44.16,45.35,0.69,
2023-03-15,47.11,45.14,23285801,47.29,44.39,45.55,192961,43.05,41.25,23285801,43.21,40.56,41.62,,
2023-03-16,44.43,46.29,14272700,46.37,44.05,45.44,125790,40.6,42.3,14272700,42.37,40.25,41.52,,
2023-03-17,46.33,46.17,28314606,46.47,45.06,45.99,130961,42.34,42.19,28314606,42.46,41.18,42.02,,
2023-03-20,46.02,47.02,8911067,47.33,46,46.95,81036,42.05,42.97,8911067,43.25,42.03,42.9,,
2023-03-21,48.06,49.08,11190291,49.53,47.9,48.78,98883,43.92,44.85,11190291,45.26,43.77,44.57,,
2023-03-22,49.21,47.78,8637511,49.56,47.71,48.59,80952,44.97,43.66,8637511,45.29,43.6,44.4,,
2023-03-23,48.15,46.74,8910266,48.62,46.25,47.26,86096,44,42.71,8910266,44.43,42.26,43.19,,
2023-03-24,45.47,46.59,8735817,47,45.46,46.44,83058,41.55,42.57,8735817,42.95,41.54,42.44,,
2023-03-27,47.42,48.1,7763434,48.43,46.6,47.68,71992,43.33,43.95,7763434,44.25,42.58,43.57,,
2023-03-28,47.74,48.59,7674981,49.24,47.7,48.64,68344,43.62,44.4,7674981,44.99,43.59,44.45,,
2023-03-29,49.49,49.81,8154483,49.94,49.27,49.66,74612,45.22,45.52,8154483,45.63,45.02,45.38,,
2023-03-30,50.57,49.87,6605670,50.68,49.65,49.9,58355,46.21,45.57,6605670,46.31,45.37,45.6,,
2023-03-31,50.35,50.63,7655572,50.87,50.14,50.59,65881,46.01,46.26,7655572,46.48,45.82,46.23,,
