Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,14.88,14.76,144084,14.88,14.61,14.71,2564,14.88,14.76,144084,14.88,14.61,14.71,,
2023-03-02,14.75,14.46,355974,14.75,14.1,14.32,4905,14.75,14.46,355974,14.75,14.1,14.32,,
2023-03-03,14.36,14.47,269526,14.55,14.23,14.4,3564,14.36,14.47,269526,14.55,14.23,14.4,,
2023-03-06,14.52,14.57,220898,14.63,14.33,14.54,2840,14.52,14.57,220898,14.63,14.33,14.54,,
2023-03-07,14.47,14.3,140102,14.55,14.27,14.37,2605,14.47,14.3,140102,14.55,14.27,14.37,,
2023-03-08,14.37,14.23,121434,14.39,14.21,14.3,2440,14.37,14.23,121434,14.39,14.21,14.3,,
2023-03-09,14.3,14.03,180208,14.3,14.02,14.09,3070,14.3,14.03,180208,14.3,14.02,14.09,,
2023-03-10,14.02,13.74,323398,14.18,13.39,13.73,4857,14.02,13.74,323398,14.18,13.39,13.73,,
2023-03-13,13.2,13.24,500515,13.35,12.66,13.05,6415,13.2,13.24,500515,13.35,12.66,13.05,,
2023-03-14,13.36,13.26,149082,13.49,13.17,13.27,2881,13.36,13.26,149082,13.49,13.17,13.27,,
2023-03-15,12.65,12.52,414143,12.95,12.49,12.65,5430,12.65,12.52,414143,12.95,12.49,12.65,,
2023-03-16,12.57,12.58,240683,12.6,12.35,12.52,3392,12.57,12.58,240683,12.6,12.35,12.52,,
2023-03-17,12.45,12.51,272172,12.8,12.41,12.61,3580,12.45,12.51,272172,12.8,12.41,12.61,,
2023-03-20,12.51,13.88,4214164,15.26,12.41,14.05,27390,12.51,13.88,4214164,15.26,12.41,14.05,,
2023-03-21,13.98,13.64,1477288,14.78,13.08,13.96,12609,13.98,13.64,1477288,14.78,13.08,13.96,,
2023-03-22,13.52,13.31,449099,13.64,12.96,13.31,4452,13.52,13.31,449099,13.64,12.96,13.31,,
2023-03-23,13.31,13.51,323738,13.51,12.97,13.27,3643,13.31,13.51,323738,13.51,12.97,13.27,,
2023-03-24,13.51,12.93,242955,13.51,12.91,13.08,2910,13.51,12.93,242955,13.51,12.91,13.08,,
2023-03-27,13.26,13.64,422523,13.92,13.02,13.47,3956,13.26,13.64,422523,13.92,13.02,13.47,,
2023-03-28,13.38,13.35,174843,13.64,13.33,13.41,2179,13.38,13.35,174843,13.64,13.33,13.41,,
2023-03-29,13.46,13.1,250280,13.51,13.01,13.16,3461,13.46,13.1,250280,13.51,13.01,13.16,,
2023-03-30,13.2,13.07,699912,13.29,13.06,13.96,5844,13.2,13.07,699912,13.29,13.06,13.96,,
2023-03-31,14.08,14.06,2407281,14.54,13.53,14.14,21402,14.08,14.06,2407281,14.54,13.53,14.14,,
