Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-06,11.4,12.25,470,12.25,11.4,11.55,9,11.4,12.25,470,12.25,11.4,11.55,,
2023-03-08,10.54,10.52,2147,10.59,10.01,10.33,29,10.54,10.52,2147,10.59,10.01,10.33,,
2023-03-13,10.02,10.02,193,10.02,10.02,10,10,10.02,10.02,193,10.02,10.02,10,,
2023-03-14,10.43,10.43,209,10.43,10.43,10.39,8,10.43,10.43,209,10.43,10.43,10.39,,
2023-03-15,10.69,10.69,477,10.69,10.69,10.71,7,10.69,10.69,477,10.69,10.69,10.71,,
2023-03-16,10.61,10.61,251,10.61,10.61,10.59,13,10.61,10.61,251,10.61,10.61,10.59,,
2023-03-21,11.21,11.21,225,11.21,11.21,11.18,8,11.21,11.21,225,11.21,11.21,11.18,,
2023-03-29,11.89,11.89,264,11.89,11.89,11.9,11,11.89,11.89,264,11.89,11.89,11.9,,
2023-03-30,12.45,12.77,1837,13.39,12.45,12.7,28,12.45,12.77,1837,13.39,12.45,12.7,,
2023-03-31,12.18,12,1322,12.67,12,12.48,19,12.18,12,1322,12.67,12,12.48,,
