Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,246.25,245.83,1963171,250.1,244.57,246.85,36259,234.59,234.19,1963171,238.26,232.99,235.16,,
2023-03-02,243.49,248.84,902023,249.65,243.19,247.46,21315,231.96,237.06,902023,237.83,231.68,235.74,,
2023-03-03,250.97,253.23,1055917,254.18,248.91,252.54,25740,239.09,241.24,1055917,242.14,237.12,240.58,,
2023-03-06,252.24,251.69,867805,254.39,250.6,252.04,21885,240.3,239.77,867805,242.34,238.73,240.11,,
2023-03-07,251.44,245.46,798494,253.32,244.85,246.88,21902,239.53,233.84,798494,241.33,233.26,235.19,,
2023-03-08,246.63,248.46,769224,249.57,245.76,247.71,16858,234.95,236.7,769224,237.75,234.12,235.98,,
2023-03-09,248.38,243.46,1092709,248.45,241.77,245.22,23281,236.62,231.93,1092709,236.69,230.32,233.61,,
2023-03-10,243,236.32,1261159,243.64,234.74,237.16,31330,231.49,225.13,1261159,232.1,223.63,225.93,,
2023-03-13,235.23,235.08,1571471,237.09,231.42,235.25,37221,224.09,223.95,1571471,225.86,220.46,224.11,,
2023-03-14,241.36,240.54,1362885,243.12,237.76,240.33,29969,229.93,229.15,1362885,231.61,226.5,228.95,,
2023-03-15,237.18,236.92,1323542,238.78,232.62,235.26,28831,225.95,225.7,1323542,227.47,221.61,224.12,,
2023-03-16,236.38,237.35,1083900,239.34,234.69,237.36,25455,225.19,226.11,1083900,228.01,223.58,226.12,,
2023-03-17,239.1,234.68,2150857,239.52,232.67,235.35,30284,227.78,223.57,2150857,228.18,221.65,224.21,,
2023-03-20,234.74,236.94,1201995,237.21,233.84,235.67,25493,223.63,225.72,1201995,225.98,222.77,224.51,,
2023-03-21,239.28,238.62,1274016,240.89,237.23,238.48,20942,227.95,227.32,1274016,229.48,226,227.19,,
2023-03-22,239.19,237.42,1291479,243.5,237.23,239.68,24819,227.86,226.18,1291479,231.97,226,228.33,,
2023-03-23,242.36,238.84,985956,245.07,237.27,240.53,25070,230.88,227.53,985956,233.47,226.04,229.14,,
2023-03-24,238.01,241.81,897809,242.19,237.29,240.25,21751,226.74,230.36,897809,230.72,226.05,228.87,,
2023-03-27,243.42,241.99,854904,244.52,241.11,242.54,22282,231.89,230.53,854904,232.94,229.69,231.06,,
2023-03-28,242.31,240.55,729469,243.67,239.42,240.88,18599,230.84,229.16,729469,232.13,228.08,229.47,,
2023-03-29,243.81,244.75,865520,245.49,241.46,244.16,20073,232.27,233.16,865520,233.87,230.03,232.6,,
2023-03-30,247.41,246.82,1646944,248.49,245.55,246.36,22316,235.7,235.13,1646944,236.72,233.92,234.69,,
2023-03-31,248.35,246.56,1893921,249.73,245.11,246.42,33920,236.59,234.89,1893921,237.91,233.5,234.75,,
