Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,32.91,33.3,6691783,33.67,32.45,33.26,54947,31.66,32.04,6691783,32.39,31.22,32,,
2023-03-02,33.23,33.36,4276795,33.67,32.78,33.34,41259,31.97,32.1,4276795,32.39,31.54,32.08,,
2023-03-03,33.09,34.35,5488524,34.55,33.04,34.23,51570,31.84,33.05,5488524,33.24,31.79,32.93,,
2023-03-06,33.22,32.95,6854227,33.53,32.5,32.96,68336,31.96,31.7,6854227,32.26,31.27,31.71,,
2023-03-07,32.95,32.95,4618376,33.44,32.71,33.04,43531,31.7,31.7,4618376,32.17,31.47,31.79,,
2023-03-08,32.92,32.16,4420391,33.02,31.73,32.22,47593,31.67,30.94,4420391,31.77,30.53,31,,
2023-03-09,32.27,31.34,7839041,32.57,31.19,31.55,55607,31.05,30.15,7839041,31.34,30.01,30.35,,
2023-03-10,31.18,30.43,5946888,31.52,30.16,30.65,66291,30,29.28,5946888,30.33,29.02,29.49,,
2023-03-13,29.73,30.3,7441307,31.33,29.26,30.48,73154,28.6,29.15,7441307,30.14,28.15,29.32,,
2023-03-14,30.43,30.71,5930225,31.41,29.92,30.78,59073,29.28,29.55,5930225,30.22,28.79,29.61,,
2023-03-15,29.34,28.84,10065504,29.79,28.12,28.82,91392,28.23,27.75,10065504,28.66,27.05,27.73,,
2023-03-16,28.46,30.14,6229284,30.16,28.38,29.62,67164,27.38,29,6229284,29.02,27.3,28.5,,
2023-03-17,29.84,29.38,11754303,30.18,29.08,29.43,65588,28.71,28.27,11754303,29.04,27.98,28.31,,
2023-03-20,29.51,30.18,7158101,30.59,29.41,30.2,62695,28.39,29.04,7158101,29.43,28.3,29.06,,
2023-03-21,30.77,31.02,5587444,31.19,30.09,30.81,46722,29.6,29.84,5587444,30.01,28.95,29.64,,
2023-03-22,30.95,29.52,7471594,31.06,29.51,30.08,59978,29.78,28.4,7471594,29.88,28.39,28.94,,
2023-03-23,29.84,29.54,6481937,30.57,29.06,29.7,67701,28.71,28.42,6481937,29.41,27.96,28.57,,
2023-03-24,29.2,30.58,6925521,30.75,29.1,30.26,62989,28.09,29.42,6925521,29.58,28,29.11,,
2023-03-27,30.77,30.46,7118807,30.85,29.62,30.23,60833,29.6,29.31,7118807,29.68,28.5,29.08,,
2023-03-28,30.46,30.92,5627500,31.43,29.96,30.97,43787,29.31,29.75,5627500,30.24,28.82,29.8,,
2023-03-29,31.19,31.47,4218064,31.63,30.81,31.36,37269,30.01,30.28,4218064,30.43,29.64,30.17,,
2023-03-30,31.65,31.3,3933177,31.67,30.89,31.18,37756,30.45,30.11,3933177,30.47,29.72,30,,
2023-03-31,31.82,31.92,5196090,32.44,31.58,32.01,49006,30.61,30.71,5196090,31.21,30.38,30.8,,
