Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-02,25.43,25.63,1028,25.63,25.43,25.49,8,21.08,21.24,1028,21.24,21.08,21.13,,
2023-03-10,25.26,25.01,4129,25.5,25.01,25.2,35,20.94,20.73,4129,21.14,20.73,20.89,,
2023-03-13,25.01,25.06,8441,25.42,25.01,25.09,77,20.73,20.77,8441,21.07,20.73,20.8,,
2023-03-14,25.08,24.95,1102,25.5,24.95,25.1,36,20.79,20.68,1102,21.14,20.68,20.8,,
2023-03-15,24.69,24.42,4057,24.69,24.19,24.46,43,20.46,20.24,4057,20.46,20.05,20.27,,
2023-03-16,24.71,24.58,3618,25.76,24.58,25.28,35,20.48,20.37,3618,21.35,20.37,20.95,,
2023-03-17,25.72,23.82,2787,25.75,23.82,24.95,31,21.32,19.74,2787,21.34,19.74,20.68,,
2023-03-20,24.01,24.22,1222,24.25,24.01,24.11,32,19.9,20.08,1222,20.1,19.9,19.98,,
2023-03-21,24.01,23.78,3172,24.01,23.66,23.82,29,19.9,19.71,3172,19.9,19.61,19.74,,
2023-03-22,25.46,25.46,258,25.46,25.46,25.13,2,21.1,21.1,258,21.1,21.1,20.83,,
2023-03-23,23.69,23.71,624,23.71,23.69,23.74,8,19.64,19.65,624,19.65,19.64,19.68,,
2023-03-24,24.09,23.76,4290,24.51,23.52,24.07,29,19.97,19.69,4290,20.32,19.49,19.95,,
2023-03-27,24.26,24.41,2475,24.51,24.26,24.42,15,20.11,20.23,2475,20.32,20.11,20.24,,
2023-03-28,24.51,24.96,4262,24.96,24.17,24.5,26,20.32,20.69,4262,20.69,20.03,20.31,,
2023-03-29,25.01,25.01,506,25.01,25.01,25.01,4,20.73,20.73,506,20.73,20.73,20.73,,
2023-03-30,24.01,24.03,307,24.03,24.01,24.04,5,19.9,19.92,307,19.92,19.9,19.93,,
