Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,1.25,1.36,149753,1.4,1.25,1.326,347,1.25,1.36,149753,1.4,1.25,1.326,,
2023-03-02,1.36,1.456,97234,1.48,1.36,1.441,330,1.36,1.456,97234,1.48,1.36,1.441,,
2023-03-03,1.45,1.47,75002,1.47,1.4,1.446,342,1.45,1.47,75002,1.47,1.4,1.446,,
2023-03-06,1.46,1.44,32077,1.47,1.42,1.436,166,1.46,1.44,32077,1.47,1.42,1.436,,
2023-03-07,1.44,1.48,104903,1.5,1.44,1.465,430,1.44,1.48,104903,1.5,1.44,1.465,,
2023-03-08,1.39,1.42,121132,1.49,1.39,1.436,374,1.39,1.42,121132,1.49,1.39,1.436,,
2023-03-09,1.42,1.41,36239,1.42,1.4,1.407,163,1.42,1.41,36239,1.42,1.4,1.407,,
2023-03-10,1.401,1.291,94803,1.401,1.261,1.336,261,1.401,1.291,94803,1.401,1.261,1.336,,
2023-03-13,1.251,1.261,69261,1.291,1.251,1.269,221,1.251,1.261,69261,1.291,1.251,1.269,,
2023-03-14,1.271,1.261,40639,1.291,1.261,1.272,183,1.271,1.261,40639,1.291,1.261,1.272,,
2023-03-15,1.271,1.221,50658,1.271,1.221,1.242,198,1.271,1.221,50658,1.271,1.221,1.242,,
2023-03-16,1.211,1.231,45713,1.241,1.201,1.222,185,1.211,1.231,45713,1.241,1.201,1.222,,
2023-03-17,1.221,1.241,123723,1.241,1.201,1.235,258,1.221,1.241,123723,1.241,1.201,1.235,,
2023-03-20,1.241,1.251,57351,1.319,1.241,1.261,205,1.241,1.251,57351,1.319,1.241,1.261,,
2023-03-21,1.231,1.241,11917,1.271,1.231,1.249,73,1.231,1.241,11917,1.271,1.231,1.249,,
2023-03-22,1.251,1.211,34182,1.261,1.211,1.236,150,1.251,1.211,34182,1.261,1.211,1.236,,
2023-03-23,1.201,1.211,32420,1.251,1.201,1.215,255,1.201,1.211,32420,1.251,1.201,1.215,,
2023-03-24,1.201,1.221,30010,1.231,1.201,1.209,133,1.201,1.221,30010,1.231,1.201,1.209,,
2023-03-27,1.221,1.231,15000,1.241,1.211,1.223,93,1.221,1.231,15000,1.241,1.211,1.223,,
2023-03-28,1.221,1.221,11256,1.241,1.221,1.229,103,1.221,1.221,11256,1.241,1.221,1.229,,
2023-03-29,1.241,1.231,22412,1.251,1.221,1.229,84,1.241,1.231,22412,1.251,1.221,1.229,,
2023-03-30,1.22,1.261,22214,1.281,1.22,1.256,118,1.22,1.261,22214,1.281,1.22,1.256,,
2023-03-31,1.261,1.281,27795,1.291,1.261,1.277,100,1.261,1.281,27795,1.291,1.261,1.277,,
