Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,18.72,18.16,2758,18.76,18.09,18.3,90,17.13,16.61,2758,17.16,16.55,16.74,,
2023-03-02,18.03,18.3,1430,18.3,18.01,18.12,49,16.5,16.74,1430,16.74,16.48,16.58,,
2023-03-03,18.2,18.37,2400,18.81,18.2,18.33,100,16.65,16.81,2400,17.21,16.65,16.77,,
2023-03-06,18.37,18.37,1186,18.87,18.37,18.5,78,16.81,16.81,1186,17.26,16.81,16.93,,
2023-03-07,18.25,18.4,4222,18.4,18.25,18.31,93,16.7,16.83,4222,16.83,16.7,16.75,,
2023-03-08,18.4,18.92,4500,18.99,18.35,18.54,111,16.83,17.31,4500,17.37,16.79,16.96,,
2023-03-09,18.89,18.75,19268,18.9,18.04,18.43,177,17.28,17.15,19268,17.29,16.5,16.86,,
2023-03-10,18.5,18.21,10607,18.76,17.18,18.13,215,16.93,16.66,10607,17.16,15.72,16.59,,
2023-03-13,17.74,17.57,7470,18,17.01,17.49,118,16.23,16.07,7470,16.47,15.56,16,,
2023-03-14,17.38,17.28,4304,17.99,17.28,17.47,121,15.9,15.81,4304,16.46,15.81,15.98,,
2023-03-15,17.04,17.01,7918,17.49,16.89,17.18,186,15.59,15.56,7918,16,15.45,15.72,,
2023-03-16,16.82,16.44,21621,17.14,16.26,16.6,374,15.39,15.04,21621,15.68,14.88,15.19,,
2023-03-17,16.06,16.11,3015,16.4,16.06,16.25,78,14.69,14.74,3015,15,14.69,14.87,,
2023-03-20,16.33,16.43,2864,16.47,16.11,16.36,163,14.94,15.03,2864,15.07,14.74,14.97,,
2023-03-21,16.63,16.63,1532,16.63,16.63,16.75,70,15.21,15.21,1532,15.21,15.21,15.32,,
2023-03-22,16.09,16.31,1922,16.8,16.09,16.32,64,14.72,14.92,1922,15.37,14.72,14.93,,
2023-03-23,16.29,15.79,10399,16.31,15.79,16.02,115,14.9,14.45,10399,14.92,14.45,14.66,,
2023-03-24,15.71,16.01,4075,16.41,15.71,15.94,132,14.37,14.65,4075,15.01,14.37,14.58,,
2023-03-27,15.87,15.87,820,15.87,15.87,16.04,69,14.52,14.52,820,14.52,14.52,14.67,,
2023-03-28,16.01,15.99,2659,16.01,15.82,15.95,118,14.65,14.63,2659,14.65,14.47,14.59,,
2023-03-29,15.82,15.82,264,15.82,15.82,15.84,8,14.47,14.47,264,14.47,14.47,14.49,,
2023-03-30,16,15.91,6973,16.01,14.55,15.32,129,14.64,14.56,6973,14.65,13.31,14.02,,
2023-03-31,15.53,15.82,2298,16.3,15.53,15.76,30,14.21,14.47,2298,14.91,14.21,14.42,,
