Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,164.53,166.37,294212,166.47,163.33,165.18,7869,164.53,166.37,294212,166.47,163.33,165.18,,
2023-03-02,165.8,167.36,241206,169.52,165,167.33,8125,165.8,167.36,241206,169.52,165,167.33,,
2023-03-03,168.43,171.7,174344,173.11,168.43,171.89,5699,168.43,171.7,174344,173.11,168.43,171.89,,
2023-03-06,172.64,172.95,254026,175.78,171,173.72,8365,172.64,172.95,254026,175.78,171,173.72,,
2023-03-07,172.42,168.57,382036,173.68,166.98,169.58,9036,172.42,168.57,382036,173.68,166.98,169.58,,
2023-03-08,168.56,169.27,176821,169.35,166.16,168.25,5004,168.56,169.27,176821,169.35,166.16,168.25,,
2023-03-09,169.1,162.08,255874,170.42,161.58,165.61,6616,169.1,162.08,255874,170.42,161.58,165.61,,
2023-03-10,160.33,153.55,459086,161.68,152.51,154.75,9408,160.33,153.55,459086,161.68,152.51,154.75,,
2023-03-13,151.58,154.61,429174,157.23,145.49,152.96,9625,151.58,154.61,429174,157.23,145.49,152.96,,
2023-03-14,159.71,158.87,402127,161.96,156.77,158.75,6961,159.71,158.87,402127,161.96,156.77,158.75,,
2023-03-15,156.66,153.77,315211,157.92,151.39,153.88,7974,156.66,153.77,315211,157.92,151.39,153.88,,
2023-03-16,153.49,152.08,566991,153.51,150.93,152.12,12168,153.49,152.08,566991,153.51,150.93,152.12,,
2023-03-17,152.58,148.57,567683,152.58,144.78,147.65,12450,152.58,148.57,567683,152.58,144.78,147.65,,
2023-03-20,148.07,149.06,311983,149.74,147.57,149.09,6968,148.07,149.06,311983,149.74,147.57,149.09,,
2023-03-21,151.03,153.54,519233,154.7,151.03,153.14,10498,151.03,153.54,519233,154.7,151.03,153.14,,
2023-03-22,153.4,149.04,448552,156.14,148.88,153.29,9482,153.4,149.04,448552,156.14,148.88,153.29,,
2023-03-23,151.42,155.57,506447,158.03,151.25,155.97,9025,151.42,155.57,506447,158.03,151.25,155.97,,
2023-03-24,154.87,155.2,497278,155.26,151.6,154,7724,154.87,155.2,497278,155.26,151.6,154,,
2023-03-27,156.47,157.2,375127,158.24,154.45,156.59,7667,156.47,157.2,375127,158.24,154.45,156.59,,
2023-03-28,156.85,156.26,328827,157.73,155.31,156.66,6366,156.85,156.26,328827,157.73,155.31,156.66,,
2023-03-29,157.88,157.93,588633,158.06,156.21,157.33,10919,157.88,157.93,588633,158.06,156.21,157.33,,
2023-03-30,160.46,160.77,430952,163.04,159.87,160.87,8440,160.46,160.77,430952,163.04,159.87,160.87,,
2023-03-31,161.74,164.08,522018,164.72,160.87,163.61,10686,161.74,164.08,522018,164.72,160.87,163.61,,
