Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,121,118.24,843370,121,118.08,118.9,18723,121,118.24,843370,121,118.08,118.9,,
2023-03-02,116.18,121.99,933056,122.31,115.65,119.92,18871,116.18,121.99,933056,122.31,115.65,119.92,,
2023-03-03,123.2,126.6,1161623,126.78,122.37,125.86,23740,123.2,126.6,1161623,126.78,122.37,125.86,,
2023-03-06,126.93,125.7,937331,128.77,124.46,126.04,21346,126.93,125.7,937331,128.77,124.46,126.04,,
2023-03-07,125.94,121.43,1047554,127.08,121.38,123.15,21660,125.94,121.43,1047554,127.08,121.38,123.15,,
2023-03-08,121.06,121.44,603721,121.74,118.49,120.54,14629,121.06,121.44,603721,121.74,118.49,120.54,,
2023-03-09,121.86,117.79,823685,123.66,117.46,120.02,17371,121.86,117.79,823685,123.66,117.46,120.02,,
2023-03-10,116.67,113.22,1370203,117.47,111.34,113.47,30323,116.67,113.22,1370203,117.47,111.34,113.47,,
2023-03-13,110.69,113.7,1064254,115.36,108.66,112.95,22143,110.69,113.7,1064254,115.36,108.66,112.95,,
2023-03-14,117,112.97,984715,118.37,110.37,113.38,22375,117,112.97,984715,118.37,110.37,113.38,,
2023-03-15,109.96,113.54,1115725,114.77,108.89,112.48,24107,109.96,113.54,1115725,114.77,108.89,112.48,,
2023-03-16,113.71,115.59,1109767,116.9,112.07,115.43,24679,113.71,115.59,1109767,116.9,112.07,115.43,,
2023-03-17,115.27,113.19,1379480,115.27,110.28,113.09,20160,115.27,113.19,1379480,115.27,110.28,113.09,,
2023-03-20,112.7,111.77,1038343,114.3,108.5,111.01,23103,112.7,111.77,1038343,114.3,108.5,111.01,,
2023-03-21,113.17,114.79,1125126,117.2,112.96,115.21,24278,113.17,114.79,1125126,117.2,112.96,115.21,,
2023-03-22,114.62,110.64,920412,115.31,110.59,112.83,19318,114.62,110.64,920412,115.31,110.59,112.83,,
2023-03-23,111.41,107.16,1263140,112.56,106.52,109.11,28967,111.41,107.16,1263140,112.56,106.52,109.11,,
2023-03-24,105.46,111.28,1143861,111.31,104.83,109.33,24729,105.46,111.28,1143861,111.31,104.83,109.33,,
2023-03-27,113.15,109.76,892736,113.15,109.01,110.51,22952,113.15,109.76,892736,113.15,109.01,110.51,,
2023-03-28,109.83,109.83,706557,110.84,108.22,109.61,15696,109.83,109.83,706557,110.84,108.22,109.61,,
2023-03-29,111.52,112.64,707585,113.31,109.36,111.66,18579,111.52,112.64,707585,113.31,109.36,111.66,,
2023-03-30,115.04,112.01,679564,115.97,111.61,112.98,15668,115.04,112.01,679564,115.97,111.61,112.98,,
2023-03-31,108.04,108.05,3563157,109.54,103.15,106.69,61466,108.04,108.05,3563157,109.54,103.15,106.69,,
