Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,116.49,117.3,654900,118.23,116.32,117.24,14706,115.18,115.98,654900,116.9,115.02,115.93,,
2023-03-02,116.95,119.71,676383,119.75,116.55,118.93,14853,115.64,118.37,676383,118.41,115.24,117.6,,
2023-03-03,120.61,122.8,1043332,122.97,119.91,122.12,18004,119.26,121.42,1043332,121.59,118.57,120.75,,
2023-03-06,122.96,123.34,835732,124.86,122.85,123.74,18222,121.58,121.96,835732,123.46,121.47,122.35,,
2023-03-07,123.51,121.37,719073,125.07,121.1,122.07,17937,122.12,120.01,719073,123.67,119.74,120.7,,
2023-03-08,121.26,119.81,853243,121.86,118.69,119.86,19722,119.9,118.47,853243,120.49,117.36,118.52,,
2023-03-09,117.58,112.29,1235174,118.13,112.06,114.01,22999,116.26,111.03,1235174,116.81,110.8,112.73,,
2023-03-10,111.8,110.77,769158,114.13,109.6,111.41,15593,110.55,109.53,769158,112.85,108.37,110.16,,
2023-03-13,108.56,107.83,1354363,109.07,106.43,107.75,26642,107.34,106.62,1354363,107.85,105.24,106.54,,
2023-03-14,110.59,110.41,1273610,112.39,109.79,110.82,25729,109.35,109.17,1273610,111.13,108.56,109.58,,
2023-03-15,106.64,105.98,1907133,107.6,104.46,105.69,31095,105.44,104.79,1907133,106.39,103.29,104.5,,
2023-03-16,105.29,107.68,1394823,108.84,104.63,107.2,24907,104.11,106.47,1394823,107.62,103.46,106,,
2023-03-17,107.05,106.19,1188458,107.95,104.8,106.12,21323,105.85,105,1188458,106.74,103.62,104.93,,
2023-03-20,106.79,109.49,1193883,109.86,105.99,109.18,19968,105.59,108.26,1193883,108.63,104.8,107.96,,
2023-03-21,111.38,111.77,791409,113,110.8,112.18,16579,110.13,110.52,791409,111.73,109.56,110.92,,
2023-03-22,111.25,108.69,836452,111.93,108.61,110.34,18435,110,107.47,836452,110.67,107.39,109.1,,
2023-03-23,109.28,106.47,1196181,110.9,105.37,107.79,22811,108.05,105.28,1196181,109.66,104.19,106.58,,
2023-03-24,104.6,103.65,1137083,105.06,101.28,103.09,22007,103.43,102.49,1137083,103.88,100.14,101.93,,
2023-03-27,105.15,104.25,643486,105.46,103.83,104.63,13564,103.97,103.08,643486,104.28,102.67,103.46,,
2023-03-28,104.04,104.74,555961,105.09,103.67,104.48,11292,102.87,103.57,555961,103.91,102.51,103.31,,
2023-03-29,105.86,108.16,618967,108.36,105.64,107.6,11909,104.67,106.95,618967,107.14,104.46,106.39,,
2023-03-30,109.17,110.02,812175,110.56,108.85,109.85,15673,107.95,108.79,812175,109.32,107.63,108.62,,
2023-03-31,111.33,111.83,590592,113.24,111.31,112.07,15110,110.08,110.58,590592,111.97,110.06,110.81,,
