Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,53.65,53.77,430355,53.99,53.4,53.66,5920,30.56,30.63,430355,30.75,30.42,30.56,,
2023-03-02,53.85,53.84,469906,53.88,53.55,53.7,6168,30.67,30.67,469906,30.69,30.5,30.59,,
2023-03-03,53.85,53.91,527436,54.08,53.7,53.91,6996,30.67,30.71,527436,30.8,30.59,30.71,,
2023-03-06,54.1,54.17,537857,54.3,53.91,54.12,6374,30.81,30.85,537857,30.93,30.71,30.83,,
2023-03-07,54.3,54.07,662841,54.38,54.01,54.21,7227,30.93,30.8,662841,30.97,30.76,30.88,,
2023-03-08,54.24,53.74,843994,54.25,53.62,53.92,8715,30.89,30.61,843994,30.9,30.54,30.71,,
2023-03-09,53.89,52.94,1522271,54.2,52.88,53.73,15570,30.69,30.15,1522271,30.87,30.12,30.6,,
2023-03-10,51.13,50.43,2239587,51.78,50.13,50.94,20850,30.27,29.85,2239587,30.65,29.67,30.15,2,
2023-03-13,50.38,50.42,1123864,50.75,50.13,50.45,12171,29.82,29.85,1123864,30.04,29.67,29.86,,
2023-03-14,50.29,50.37,954786,50.63,50.24,50.37,9966,29.77,29.82,954786,29.97,29.74,29.82,,
2023-03-15,50.23,50.38,1581113,50.43,49.87,50.11,13992,29.73,29.82,1581113,29.85,29.52,29.66,,
2023-03-16,50.54,51.49,657668,51.58,50.37,50.99,8309,29.92,30.48,657668,30.53,29.82,30.18,,
2023-03-17,51.43,50.94,599935,51.55,50.81,51.1,6372,30.44,30.15,599935,30.51,30.08,30.25,,
2023-03-20,50.94,50.7,575841,51.13,50.69,50.95,7351,30.15,30.01,575841,30.27,30.01,30.16,,
2023-03-21,51.03,50.9,520670,51.29,50.78,50.98,6046,30.21,30.13,520670,30.36,30.06,30.18,,
2023-03-22,50.86,50.65,493252,50.99,50.53,50.75,5686,30.11,29.98,493252,30.18,29.91,30.04,,
2023-03-23,50.63,50.57,425412,50.88,50.36,50.61,5987,29.97,29.93,425412,30.12,29.81,29.96,,
2023-03-24,50.56,50.47,588868,50.59,50.15,50.38,6455,29.93,29.87,588868,29.95,29.69,29.82,,
2023-03-27,50.53,50.98,556831,51.12,50.14,50.71,6350,29.91,30.18,556831,30.26,29.68,30.02,,
2023-03-28,51.03,51.42,327870,51.49,51.03,51.29,4015,30.21,30.44,327870,30.48,30.21,30.36,,
2023-03-29,51.43,51.8,395734,51.86,51.34,51.59,4466,30.44,30.66,395734,30.7,30.39,30.54,,
2023-03-30,51.73,51.81,412601,51.92,51.41,51.65,4746,30.62,30.67,412601,30.73,30.43,30.57,,
2023-03-31,51.92,51.73,416527,51.99,51.61,51.79,5621,30.73,30.62,416527,30.77,30.55,30.66,,
