Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,163.5,157.5,2378,163.5,157.5,159.41,186,147.28,141.88,2378,147.28,141.88,143.6,,
2023-03-02,158.25,159.58,1397,159.58,158.25,158.57,159,142.55,143.75,1397,143.75,142.55,142.84,,
2023-03-03,157.68,156.66,3216,159.95,156.66,157.84,110,142.04,141.12,3216,144.09,141.12,142.18,,
2023-03-06,158.56,150.2,14372,158.56,150.2,151.41,518,142.83,135.3,14372,142.83,135.3,136.39,,
2023-03-07,150.99,147,3878,155,147,150.04,287,136.01,132.42,3878,139.63,132.42,135.16,,
2023-03-08,149.16,147.92,1657,149.16,147.92,147.84,178,134.37,133.25,1657,134.37,133.25,133.18,,
2023-03-09,145.02,145.09,1424,145.09,145.02,146.5,224,130.64,130.7,1424,130.7,130.64,131.97,,
2023-03-10,145.07,144.06,1958,145.07,138.32,144,169,130.68,129.77,1958,130.68,124.6,129.72,,
2023-03-13,145.07,144.5,2385,145.07,144.5,145.37,234,130.68,130.17,2385,130.68,130.17,130.95,,
2023-03-14,147.19,147.19,1539,147.19,147.19,148.8,203,132.59,132.59,1539,132.59,132.59,134.04,,
2023-03-15,146.51,147.38,1649,147.38,146.51,147.62,189,131.98,132.76,1649,132.76,131.98,132.98,,
2023-03-16,144.64,148.06,7612,153.89,141.64,146.24,567,130.29,133.37,7612,138.63,127.59,131.74,,
2023-03-17,146.65,140.07,7015,146.65,140.07,142.4,238,132.1,126.18,7015,132.1,126.18,128.28,,
2023-03-20,142.49,143.37,5232,145.87,142.49,144.38,218,128.78,129.58,5232,131.84,128.78,130.49,0.46,
2023-03-21,149.63,150.87,2426,150.87,148.67,148.8,203,135.23,136.35,2426,136.35,134.37,134.48,,
2023-03-22,150.06,147.05,1433,150.07,147.05,148.54,143,135.62,132.9,1433,135.63,132.9,134.25,,
2023-03-23,149.19,147.54,2235,149.19,146.42,147.6,168,134.84,133.34,2235,134.84,132.33,133.4,,
2023-03-24,144.18,146.81,4631,146.81,144.17,145.32,270,130.31,132.68,4631,132.68,130.3,131.34,,
2023-03-27,148.03,148.24,2449,148.24,147.76,148.15,84,133.79,133.98,2449,133.98,133.54,133.9,,
2023-03-28,149.34,147.96,1778,149.34,147.96,148.67,132,134.97,133.72,1778,134.97,133.72,134.37,,
2023-03-29,145.54,151.08,5140,151.11,145.54,148.31,170,131.54,136.54,5140,136.57,131.54,134.04,,
2023-03-30,152.34,151.7,641,152.34,151.7,151.54,90,137.68,137.1,641,137.68,137.1,136.96,,
2023-03-31,151.06,151.06,1215,151.06,151.06,151.25,91,136.53,136.53,1215,136.53,136.53,136.7,,
