Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,16.63,16.59,33676,17.38,16.42,16.78,1171,16.63,16.59,33676,17.38,16.42,16.78,,
2023-03-02,16.41,16.28,25809,16.53,15.9,16.29,807,16.41,16.28,25809,16.53,15.9,16.29,,
2023-03-03,16.28,16.34,28988,16.43,15.88,16.21,809,16.28,16.34,28988,16.43,15.88,16.21,,
2023-03-06,16.08,15.78,44717,16.24,15.58,15.85,1067,16.08,15.78,44717,16.24,15.58,15.85,,
2023-03-07,15.85,16.22,27876,16.36,15.84,16.15,801,15.85,16.22,27876,16.36,15.84,16.15,,
2023-03-08,16.45,15.78,40904,16.45,15.47,15.77,841,16.45,15.78,40904,16.45,15.47,15.77,,
2023-03-09,15.69,14.12,43842,15.92,14.01,14.6,1044,15.69,14.12,43842,15.92,14.01,14.6,,
2023-03-10,14.34,14.1,127914,14.34,13.05,13.83,2664,14.34,14.1,127914,14.34,13.05,13.83,,
2023-03-13,14.1,13.77,72583,14.31,13.41,13.81,1719,14.1,13.77,72583,14.31,13.41,13.81,,
2023-03-14,14.35,14.37,34920,14.51,13.74,14.27,921,14.35,14.37,34920,14.51,13.74,14.27,,
2023-03-15,13.84,13.46,30687,13.84,13.11,13.38,708,13.84,13.46,30687,13.84,13.11,13.38,,
2023-03-16,13.21,13.25,49165,13.7,12.5,13.26,995,13.21,13.25,49165,13.7,12.5,13.26,,
2023-03-17,12.91,11.94,149773,13.09,11.79,12.27,1926,12.91,11.94,149773,13.09,11.79,12.27,,
2023-03-20,12.14,11.71,55622,12.52,11.45,11.73,1013,12.14,11.71,55622,12.52,11.45,11.73,,
2023-03-21,11.96,11.54,79866,12.14,11.39,11.7,1245,11.96,11.54,79866,12.14,11.39,11.7,,
2023-03-22,11.65,11.35,56464,12.57,11.01,11.83,1352,11.65,11.35,56464,12.57,11.01,11.83,,
2023-03-23,11.48,11.3,47203,11.49,10.69,11.11,943,11.48,11.3,47203,11.49,10.69,11.11,,
2023-03-24,11.07,11.51,406890,11.69,10.96,11.32,1902,11.07,11.51,406890,11.69,10.96,11.32,,
2023-03-27,11.8,11.59,80771,11.98,11.22,11.6,1293,11.8,11.59,80771,11.98,11.22,11.6,,
2023-03-28,11.55,11.26,89156,11.62,11.01,11.29,1262,11.55,11.26,89156,11.62,11.01,11.29,,
2023-03-29,11.55,12.56,172982,12.75,11.01,12.38,2008,11.55,12.56,172982,12.75,11.01,12.38,,
2023-03-30,12.7,11.6,86157,13.18,11.21,11.72,1641,12.7,11.6,86157,13.18,11.21,11.72,,
2023-03-31,11.65,12.1,89258,12.42,11.65,12.12,1551,11.65,12.1,89258,12.42,11.65,12.12,,
