Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,37.69,37.44,809126,37.93,37.33,37.55,13050,35.07,34.83,809126,35.29,34.73,34.93,,
2023-03-02,37.01,37.14,553709,37.34,36.52,36.95,9558,34.43,34.55,553709,34.74,33.98,34.38,,
2023-03-03,37.06,37.35,714843,37.44,36.73,37.29,11953,34.48,34.75,714843,34.83,34.17,34.69,,
2023-03-06,37.27,36.79,1404958,37.33,36.66,36.89,14217,34.67,34.23,1404958,34.73,34.11,34.32,,
2023-03-07,36.67,35.92,1040630,36.84,35.89,36.2,15411,34.12,33.42,1040630,34.27,33.39,33.68,,
2023-03-08,35.91,35.96,1102948,36.26,35.73,35.97,16157,33.41,33.46,1102948,33.73,33.24,33.46,,
2023-03-09,35.87,34.53,1146134,36.01,34.4,34.88,14325,33.37,32.13,1146134,33.5,32,32.45,,
2023-03-10,34.16,33.04,1827651,34.41,32.76,33.21,21735,31.78,30.74,1827651,32.01,30.48,30.9,,
2023-03-13,31.87,30.5,3177435,31.89,30.34,30.87,36094,29.65,28.38,3177435,29.67,28.23,28.72,,
2023-03-14,31.87,32.03,3438588,32.48,31.48,31.98,37938,29.65,29.8,3438588,30.22,29.29,29.75,,
2023-03-15,30.62,30.93,2612961,31.05,29.95,30.59,29702,28.49,28.78,2612961,28.89,27.86,28.46,,
2023-03-16,30.51,31.22,2384421,31.58,30.01,31.06,30999,28.39,29.05,2384421,29.38,27.92,28.9,,
2023-03-17,30.53,30.05,15776857,30.75,29.8,30.06,38734,28.4,27.96,15776857,28.61,27.72,27.97,,
2023-03-20,30.65,30.77,1452174,31.13,30.5,30.8,18845,28.52,28.63,1452174,28.96,28.38,28.66,,
2023-03-21,31.55,31.38,1289148,31.84,31.34,31.49,17068,29.35,29.19,1289148,29.62,29.16,29.3,,
2023-03-22,31.41,30.62,1423204,31.8,30.6,31.08,20825,29.22,28.49,1423204,29.59,28.47,28.92,,
2023-03-23,30.78,29.89,2121428,30.95,29.73,30.1,27064,28.64,27.81,2121428,28.79,27.66,28,,
2023-03-24,29.3,29.43,2553976,29.44,28.35,29.09,25303,27.26,27.38,2553976,27.39,26.38,27.06,,
2023-03-27,30.37,30.17,1677062,30.48,29.72,30.16,18243,28.25,28.07,1677062,28.36,27.65,28.06,,
2023-03-28,29.86,30.22,2164806,30.58,29.79,30.25,22156,27.78,28.12,2164806,28.45,27.72,28.14,,
2023-03-29,30.09,31.16,3129458,31.19,29.15,30.85,29489,27.99,28.99,3129458,29.02,27.12,28.7,,
2023-03-30,31.45,30.99,1758502,31.7,30.7,31.03,20941,29.26,28.83,1758502,29.49,28.56,28.87,,
2023-03-31,31.27,31.75,1649315,31.81,31.06,31.63,16036,29.09,29.54,1649315,29.59,28.9,29.43,,
