Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,64.82,63.11,82225,65.5,62.77,63.66,1933,59.59,58.02,82225,60.21,57.7,58.52,,
2023-03-02,62.66,63.34,60503,63.62,62.35,63.1,1919,57.6,58.23,60503,58.48,57.32,58.01,,
2023-03-03,63.54,63.65,71684,64.49,63.1,63.71,2810,58.41,58.51,71684,59.28,58.01,58.57,,
2023-03-06,63.65,62.98,77740,64.05,62.74,63.17,2360,58.51,57.9,77740,58.88,57.68,58.07,,
2023-03-07,63.16,62.33,53005,63.16,61.91,62.35,2055,58.06,57.3,53005,58.06,56.91,57.32,,
2023-03-08,62.12,63.16,44869,63.2,61.84,62.62,1743,57.11,58.06,44869,58.1,56.85,57.57,,
2023-03-09,63.2,60.66,68145,63.62,60.46,61.91,1820,58.1,55.76,68145,58.48,55.58,56.91,,
2023-03-10,60.5,59.54,59931,60.69,58.74,59.75,1819,55.62,54.73,59931,55.79,54,54.93,,
2023-03-13,58.78,58.96,61175,59.75,56.83,58.47,1654,54.04,54.2,61175,54.93,52.24,53.75,,
2023-03-14,60.66,59.14,60425,60.66,58.39,59.33,1640,55.76,54.37,60425,55.76,53.68,54.54,,
2023-03-15,57.92,59.43,65810,59.93,57.53,58.98,1968,53.24,54.63,65810,55.09,52.89,54.22,,
2023-03-16,58.65,59.85,61193,60.3,58.39,59.54,2242,53.92,55.02,61193,55.43,53.68,54.73,,
2023-03-17,59.73,59.94,256612,61.01,59.16,59.95,3041,54.91,55.1,256612,56.09,54.38,55.11,,
2023-03-20,60.51,59.39,68911,61.01,58.87,60.06,2245,55.63,54.6,68911,56.09,54.12,55.21,,
2023-03-21,60.12,61.07,54888,61.24,59.74,60.88,1470,55.27,56.14,54888,56.3,54.92,55.97,,
2023-03-22,61.08,60.05,37466,61.96,60.05,60.79,1056,56.15,55.2,37466,56.96,55.2,55.88,,
2023-03-23,60.19,59.51,38100,61.12,58.86,60.07,1370,55.33,54.71,38100,56.19,54.11,55.22,,
2023-03-24,59.13,60.1,65663,60.27,58.86,59.56,1262,54.36,55.25,65663,55.41,54.11,54.75,,
2023-03-27,60.64,61,25442,61.31,59.88,60.78,1091,55.75,56.08,25442,56.36,55.05,55.87,,
2023-03-28,60.93,61.05,90090,61.78,60,60.82,1358,56.01,56.12,90090,56.79,55.16,55.91,,
2023-03-29,61.39,61.51,44475,61.54,60.32,61.01,1314,56.43,56.55,44475,56.57,55.45,56.09,,
2023-03-30,61.82,61.64,47605,62.35,60.8,61.64,1751,56.83,56.66,47605,57.32,55.89,56.66,,
2023-03-31,61.89,63.04,55963,63.21,61.31,62.62,1448,56.89,57.95,55963,58.11,56.36,57.57,,
