Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.6,21.68,1230435,21.74,21.22,21.58,10972,19.23,19.3,1230435,19.36,18.89,19.22,,
2023-03-02,21.52,21.63,1550821,21.69,21.4,21.58,11369,19.16,19.26,1550821,19.31,19.05,19.22,,
2023-03-03,21.8,21.8,1696126,21.86,21.51,21.73,13085,19.41,19.41,1696126,19.46,19.15,19.35,,
2023-03-06,21.77,21.6,835295,21.96,21.56,21.69,10579,19.38,19.23,835295,19.55,19.2,19.31,,
2023-03-07,21.58,21.09,1233482,21.66,20.93,21.18,12482,19.22,18.78,1233482,19.29,18.64,18.86,,
2023-03-08,21.11,21.52,1292380,21.53,21.01,21.43,12529,18.8,19.16,1292380,19.17,18.71,19.08,,
2023-03-09,21.48,21.23,1135101,21.58,21.22,21.36,10905,19.13,18.9,1135101,19.22,18.89,19.02,,
2023-03-10,21.18,20.27,1463673,21.24,20.14,20.46,14781,18.86,18.05,1463673,18.91,17.93,18.22,,
2023-03-13,20,20.28,1522465,20.7,19.91,20.33,15882,17.81,18.06,1522465,18.43,17.73,18.1,,
2023-03-14,20.88,20.66,1844467,21.15,20.41,20.65,15339,18.59,18.4,1844467,18.83,18.17,18.39,,
2023-03-15,20.08,20.15,1610509,20.26,19.74,20.03,18260,17.88,17.94,1610509,18.04,17.58,17.84,,
2023-03-16,19.88,19.67,1929476,20.01,19.37,19.72,21997,17.7,17.51,1929476,17.82,17.25,17.56,,
2023-03-17,19.46,19,3477983,19.49,18.84,19.07,22306,17.33,16.92,3477983,17.35,16.78,16.98,,
2023-03-20,19.17,19.62,1734322,19.75,19.08,19.57,17263,17.07,17.47,1734322,17.59,16.99,17.43,,
2023-03-21,19.94,19.94,1189239,20.16,19.76,19.95,12713,17.75,17.75,1189239,17.95,17.59,17.76,,
2023-03-22,19.79,18.93,1833296,19.82,18.87,19.22,16865,17.62,16.86,1833296,17.65,16.8,17.11,,
2023-03-23,18.9,19.03,1760969,19.46,18.87,19.11,17702,16.83,16.94,1760969,17.33,16.8,17.02,,
2023-03-24,18.92,19.5,1269572,19.55,18.78,19.29,14223,16.85,17.36,1269572,17.41,16.72,17.18,,
2023-03-27,19.81,19.48,1310604,19.81,19.45,19.55,14100,17.64,17.35,1310604,17.64,17.32,17.41,,
2023-03-28,19.26,19.52,1090434,19.61,19.1,19.47,11099,17.15,17.38,1090434,17.46,17.01,17.34,,
2023-03-29,19.75,19.84,1183513,19.92,19.62,19.79,10354,17.59,17.67,1183513,17.74,17.47,17.62,,
2023-03-30,20.13,20.09,1035943,20.33,19.94,20.1,10413,17.92,17.89,1035943,18.1,17.75,17.9,,
2023-03-31,20.24,20.93,1508699,20.95,20.2,20.76,12883,18.02,18.64,1508699,18.65,17.99,18.49,,
