Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,12.55,12.53,2259139,12.68,12.32,12.47,19900,12.55,12.53,2259139,12.68,12.32,12.47,,
2023-03-02,12.41,12.55,2048365,12.58,12.28,12.47,15915,12.41,12.55,2048365,12.58,12.28,12.47,,
2023-03-03,12.67,12.82,1535478,12.91,12.62,12.83,17143,12.67,12.82,1535478,12.91,12.62,12.83,,
2023-03-06,12.9,12.53,2523528,12.99,12.49,12.63,22431,12.9,12.53,2523528,12.99,12.49,12.63,,
2023-03-07,12.58,12.67,2657025,12.81,12.46,12.66,22467,12.58,12.67,2657025,12.81,12.46,12.66,,
2023-03-08,12.68,12.55,2471305,12.74,12.42,12.56,20376,12.68,12.55,2471305,12.74,12.42,12.56,,
2023-03-09,12.49,12.43,2069370,12.88,12.42,12.6,22579,12.49,12.43,2069370,12.88,12.42,12.6,,
2023-03-10,12.16,12.07,12868740,12.23,11.64,12.03,68630,12.16,12.07,12868740,12.23,11.64,12.03,,
2023-03-13,12.03,11.82,3617748,12.15,11.7,11.91,33281,12.03,11.82,3617748,12.15,11.7,11.91,,
2023-03-14,12.08,12.06,2851196,12.22,11.8,12.01,22452,12.08,12.06,2851196,12.22,11.8,12.01,,
2023-03-15,11.78,12.08,3228685,12.25,11.69,12.05,24426,11.78,12.08,3228685,12.25,11.69,12.05,,
2023-03-16,11.99,11.67,4497254,12.22,11.59,11.8,32367,11.99,11.67,4497254,12.22,11.59,11.8,,
2023-03-17,11.55,11.21,4964072,11.63,11.14,11.27,30068,11.55,11.21,4964072,11.63,11.14,11.27,,
2023-03-20,11.18,10.96,2784612,11.42,10.85,11.08,21682,11.18,10.96,2784612,11.42,10.85,11.08,,
2023-03-21,11.03,11.42,3839584,11.48,11.03,11.36,24237,11.03,11.42,3839584,11.48,11.03,11.36,,
2023-03-22,11.4,10.91,2535558,11.4,10.91,11.15,23122,11.4,10.91,2535558,11.4,10.91,11.15,,
2023-03-23,10.99,10.71,2502574,11.09,10.55,10.8,22899,10.99,10.71,2502574,11.09,10.55,10.8,,
2023-03-24,10.6,10.52,4702354,10.66,10.13,10.4,31571,10.6,10.52,4702354,10.66,10.13,10.4,,
2023-03-27,10.67,10.59,3831962,10.67,10.29,10.5,24735,10.67,10.59,3831962,10.67,10.29,10.5,,
2023-03-28,10.61,10.47,3376798,10.8,10.47,10.59,22553,10.61,10.47,3376798,10.8,10.47,10.59,,
2023-03-29,10.55,10.51,2312869,10.67,10.39,10.5,20636,10.55,10.51,2312869,10.67,10.39,10.5,,
2023-03-30,10.65,10.68,1926017,10.77,10.56,10.65,18328,10.65,10.68,1926017,10.77,10.56,10.65,,
2023-03-31,10.81,11.01,2155685,11.16,10.75,11.03,17252,10.81,11.01,2155685,11.16,10.75,11.03,,
