Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,73.96,73.08,650386,74.36,72.71,73.26,13198,73.96,73.08,650386,74.36,72.71,73.26,,
2023-03-02,72.28,73.35,892478,73.72,72.01,73.15,14718,72.28,73.35,892478,73.72,72.01,73.15,,
2023-03-03,74,72.94,996015,74.04,72.14,72.95,13450,74,72.94,996015,74.04,72.14,72.95,,
2023-03-06,72.49,73,1073901,73.76,71.19,72.76,15823,72.49,73,1073901,73.76,71.19,72.76,,
2023-03-07,73.25,72.37,828027,73.28,71.56,72.27,15204,73.25,72.37,828027,73.28,71.56,72.27,,
2023-03-08,74.1,75.23,1391272,76.93,73.66,74.79,23459,74.1,75.23,1391272,76.93,73.66,74.79,,
2023-03-09,75.49,73.16,1216997,76.55,72.9,73.92,16340,75.49,73.16,1216997,76.55,72.9,73.92,,
2023-03-10,72.67,71.3,1225032,74.1,70.88,71.86,17023,72.67,71.3,1225032,74.1,70.88,71.86,,
2023-03-13,69.7,70.79,1414792,71.89,68.8,70.97,19236,69.7,70.79,1414792,71.89,68.8,70.97,,
2023-03-14,72.76,73.06,852730,74.13,71.7,72.87,14626,72.76,73.06,852730,74.13,71.7,72.87,,
2023-03-15,71.62,73.28,813818,73.38,71.43,72.56,14365,71.62,73.28,813818,73.38,71.43,72.56,,
2023-03-16,72.78,78.87,1410804,78.92,72.58,77.23,24946,72.78,78.87,1410804,78.92,72.58,77.23,,
2023-03-17,78.9,77.88,1648324,80.44,77.27,78.44,21962,78.9,77.88,1648324,80.44,77.27,78.44,,
2023-03-20,77.88,79.22,904702,79.48,76.62,78.94,16188,77.88,79.22,904702,79.48,76.62,78.94,,
2023-03-21,80.02,82.9,1084040,83.86,79.89,82.4,18990,80.02,82.9,1084040,83.86,79.89,82.4,,
2023-03-22,82.37,80.51,1130790,83.59,80.48,81.95,18445,82.37,80.51,1130790,83.59,80.48,81.95,,
2023-03-23,81.32,79.66,923188,83.29,79.31,80.57,18867,81.32,79.66,923188,83.29,79.31,80.57,,
2023-03-24,79.37,81.47,849741,81.79,78.59,81.01,15055,79.37,81.47,849741,81.79,78.59,81.01,,
2023-03-27,81.17,80.51,1452808,81.99,79.88,80.71,20063,81.17,80.51,1452808,81.99,79.88,80.71,,
2023-03-28,80.95,80.19,1173367,81.65,79.52,80.33,15412,80.95,80.19,1173367,81.65,79.52,80.33,,
2023-03-29,80.62,79.36,589490,80.62,78.78,79.57,11091,80.62,79.36,589490,80.62,78.78,79.57,,
2023-03-30,80.17,80.75,830549,81.69,79.67,80.49,13905,80.17,80.75,830549,81.69,79.67,80.49,,
2023-03-31,81.28,82.59,1127338,82.74,81.28,82.45,14203,81.28,82.59,1127338,82.74,81.28,82.45,,
