Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,5.57,5.56,6567,5.58,5.56,5.572,111,4.486,4.478,6567,4.494,4.478,4.487,,
2023-03-02,5.58,5.621,13979,5.67,5.56,5.606,89,4.494,4.527,13979,4.566,4.478,4.515,,
2023-03-03,5.619,5.59,27402,5.7,5.57,5.616,124,4.525,4.502,27402,4.59,4.486,4.523,,
2023-03-06,5.6,5.595,18282,5.625,5.53,5.593,168,4.51,4.506,18282,4.53,4.453,4.504,,
2023-03-07,5.613,5.6,4427,5.613,5.541,5.57,84,4.52,4.51,4427,4.52,4.462,4.486,,
2023-03-08,5.546,5.619,5502,5.623,5.546,5.582,148,4.466,4.525,5502,4.528,4.466,4.495,,
2023-03-09,5.559,5.519,5056,5.589,5.519,5.557,95,4.477,4.445,5056,4.501,4.445,4.475,,
2023-03-10,5.523,5.463,27908,5.607,5.453,5.506,253,4.448,4.4,27908,4.515,4.391,4.434,,
2023-03-13,5.463,5.503,16016,5.591,5.431,5.502,183,4.4,4.432,16016,4.503,4.374,4.431,,
2023-03-14,5.493,5.483,8578,5.503,5.443,5.479,129,4.424,4.416,8578,4.432,4.383,4.412,,
2023-03-15,5.483,5.413,23921,5.493,5.403,5.431,186,4.416,4.359,23921,4.424,4.351,4.374,,
2023-03-16,5.403,5.453,23475,5.513,5.203,5.375,263,4.351,4.391,23475,4.44,4.19,4.329,,
2023-03-17,5.453,5.403,12625,5.463,5.293,5.402,213,4.391,4.351,12625,4.4,4.263,4.35,,
2023-03-20,5.353,5.203,45356,5.353,5.203,5.229,415,4.311,4.19,45356,4.311,4.19,4.211,,
2023-03-21,5.283,5.213,11045,5.303,5.213,5.254,127,4.255,4.198,11045,4.271,4.198,4.231,,
2023-03-22,5.203,5.203,10850,5.353,5.203,5.254,175,4.19,4.19,10850,4.311,4.19,4.231,,
2023-03-23,5.193,5.213,15964,5.263,5.153,5.212,182,4.182,4.198,15964,4.238,4.15,4.197,,
2023-03-24,5.133,5.193,9213,5.243,5.123,5.183,193,4.134,4.182,9213,4.222,4.126,4.174,,
2023-03-27,5.243,5.203,32449,5.253,5.163,5.203,249,4.222,4.19,32449,4.23,4.158,4.19,,
2023-03-28,5.243,5.153,59250,5.253,5.133,5.177,339,4.222,4.15,59250,4.23,4.134,4.169,,
2023-03-29,5.153,5.203,70217,5.253,5.123,5.177,251,4.15,4.19,70217,4.23,4.126,4.169,,
2023-03-30,5.192,5.232,39895,5.272,5.192,5.23,273,4.181,4.213,39895,4.246,4.181,4.212,,
2023-03-31,5.272,5.179,51493,5.282,5.152,5.215,280,4.246,4.171,51493,4.254,4.149,4.2,,
