Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,100.4,100.89,1270471,101.06,99.92,100.7,18359,95.83,96.29,1270471,96.46,95.37,96.11,,
2023-03-02,101.18,102.3,913212,102.77,100.61,102.19,17589,96.57,97.64,913212,98.09,96.03,97.53,,
2023-03-03,102.09,101.98,872523,102.38,101.56,102.06,15996,97.44,97.33,872523,97.72,96.93,97.41,,
2023-03-06,101.79,101.99,1365571,102.27,100.72,101.7,23029,97.15,97.34,1365571,97.61,96.13,97.07,,
2023-03-07,102.18,100.97,1539318,102.49,100.93,101.35,28050,97.53,96.37,1539318,97.82,96.33,96.73,,
2023-03-08,101.2,99.92,1441592,101.35,99.21,99.89,21715,96.59,95.37,1441592,96.73,94.69,95.34,,
2023-03-09,100.39,99.19,1504848,100.39,98.92,99.47,24946,95.82,94.67,1504848,95.82,94.41,94.94,,
2023-03-10,99.17,97.68,1515167,99.66,97.22,98.01,21509,94.65,93.23,1515167,95.12,92.79,93.54,,
2023-03-13,97.05,96.36,1296532,98.39,96.1,96.97,24636,92.63,91.97,1296532,93.91,91.72,92.55,,
2023-03-14,97.29,98.67,1370544,98.77,96.94,98.29,23364,92.86,94.17,1370544,94.27,92.52,93.81,,
2023-03-15,97.62,98.04,1516026,98.06,96.5,97.62,21854,93.17,93.57,1516026,93.59,92.1,93.17,,
2023-03-16,97.65,98.34,1080108,98.67,96.98,98.09,19501,93.2,93.86,1080108,94.17,92.56,93.62,,
2023-03-17,97.87,97.36,2662542,98.04,97.11,97.5,23668,93.41,92.92,2662542,93.57,92.69,93.06,,
2023-03-20,97.85,99.13,1538717,99.53,97.42,98.97,24535,93.39,94.61,1538717,95,92.98,94.46,,
2023-03-21,100.05,99.7,1336555,100.55,99.1,99.61,24526,95.49,95.16,1336555,95.97,94.59,95.07,,
2023-03-22,100.04,99.76,1529645,100.66,99.19,99.93,21189,95.48,95.22,1529645,96.07,94.67,95.38,,
2023-03-23,99.85,98.83,1124082,100.2,98.09,99.21,21516,95.3,94.33,1124082,95.64,93.62,94.69,,
2023-03-24,98.85,100.24,1532847,100.43,98.5,99.92,17647,94.35,95.67,1532847,95.85,94.01,95.37,,
2023-03-27,101,101.73,1249348,102.29,100.5,101.51,19628,96.4,97.1,1249348,97.63,95.92,96.89,,
2023-03-28,102.05,101.73,1053792,102.49,101.51,101.93,17776,97.4,97.1,1053792,97.82,96.89,97.29,,
2023-03-29,102.35,102.62,1170895,103.44,102.33,102.84,19821,97.69,97.94,1170895,98.73,97.67,98.15,,
2023-03-30,102.56,102.9,1197661,103.4,101.94,102.77,21205,97.89,98.21,1197661,98.69,97.3,98.09,,
2023-03-31,103.43,104.56,1449215,104.63,103.1,104.2,24019,98.72,99.8,1449215,99.86,98.4,99.45,,
