Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,82.4,82.08,5249066,82.53,81.67,82.14,62795,75.84,75.54,5249066,75.96,75.17,75.6,,
2023-03-02,81.49,82.26,4892284,82.56,81.2,82.02,60183,75,75.71,4892284,75.99,74.73,75.49,,
2023-03-03,82.79,83.41,4771833,83.63,82.44,83.11,55798,76.2,76.77,4771833,76.97,75.88,76.49,,
2023-03-06,83.49,81.93,6845513,83.83,81.45,82.25,84429,76.84,75.41,6845513,77.15,74.96,75.7,,
2023-03-07,82.09,79.74,6876295,82.15,79.51,80.28,88124,75.55,73.39,6876295,75.61,73.18,73.89,,
2023-03-08,79.52,78.39,6809632,79.68,78.02,78.46,80827,73.19,72.15,6809632,73.33,71.81,72.21,,
2023-03-09,78.78,77.99,5633842,79.32,77.97,78.61,60202,72.51,71.78,5633842,73,71.76,72.35,,
2023-03-10,77.91,76.76,5904682,78.15,76.18,77.07,75688,71.71,70.65,5904682,71.93,70.11,70.93,,
2023-03-13,76.26,78.02,7579778,78.54,76.06,77.93,81241,70.19,71.81,7579778,72.29,70,71.72,,
2023-03-14,79.06,77.9,6811601,79.36,77.07,78.16,75287,72.76,71.7,6811601,73.04,70.93,71.94,,
2023-03-15,77.17,78.45,5370700,78.5,76.84,78.01,64188,71.02,72.2,5370700,72.25,70.72,71.8,,
2023-03-16,77.7,79.31,5777210,79.44,77.61,78.9,73670,71.51,72.99,5777210,73.11,71.43,72.62,,
2023-03-17,79.11,78.33,8843028,79.57,77.92,78.54,56679,72.81,72.09,8843028,73.23,71.72,72.29,,
2023-03-20,78.79,79.65,7227720,79.81,78.55,79.34,63758,72.52,73.31,7227720,73.45,72.29,73.02,,
2023-03-21,80,81.27,5832841,81.45,79.99,80.85,57054,73.63,74.8,5832841,74.96,73.62,74.41,,
2023-03-22,81.49,79.98,5540676,82.01,79.96,81.04,66531,75,73.61,5540676,75.48,73.59,74.59,,
2023-03-23,79.54,77.61,6715986,79.85,77.34,78.26,67038,73.83,72.04,6715986,74.12,71.79,72.65,0.68,
2023-03-24,77.44,79.41,6220360,79.57,77.34,78.94,76537,71.88,73.71,6220360,73.86,71.79,73.28,,
2023-03-27,80.54,79.68,5644405,81.35,79.62,80.13,53944,74.76,73.96,5644405,75.51,73.91,74.38,,
2023-03-28,78.92,79.55,5149354,80.34,78.64,79.55,51937,73.26,73.84,5149354,74.58,73,73.84,,
2023-03-29,78.68,79.11,7078286,79.39,78.48,79,65575,73.04,73.43,7078286,73.69,72.85,73.33,,
2023-03-30,79.73,79.21,4143745,79.88,78.98,79.24,46432,74.01,73.53,4143745,74.15,73.31,73.56,,
2023-03-31,79.68,80.65,5563580,80.66,79.27,80.28,53757,73.96,74.86,5563580,74.87,73.58,74.52,,
