Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,74,72.97,1403851,74,72.59,73.06,22026,69.99,69.01,1403851,69.99,68.65,69.1,,
2023-03-02,72.95,73.04,2324072,73.04,71.84,72.71,34744,68.99,69.08,2324072,69.08,67.94,68.77,,
2023-03-03,73.38,72.9,1794847,73.38,72.37,72.77,28165,69.4,68.95,1794847,69.4,68.45,68.82,,
2023-03-06,72.74,73.23,1194820,73.37,72.49,73.11,20452,68.8,69.26,1194820,69.39,68.56,69.15,,
2023-03-07,73.32,72.13,1836323,73.59,71.8,72.4,31427,69.34,68.22,1836323,69.6,67.91,68.47,,
2023-03-08,72.33,72.73,1565493,73.07,71.85,72.68,23272,68.41,68.79,1565493,69.11,67.95,68.74,,
2023-03-09,73.17,71.99,1743323,73.38,71.73,72.56,25663,69.2,68.09,1743323,69.4,67.84,68.63,,
2023-03-10,71.73,70.99,1359522,71.9,70.73,71.25,24720,67.84,67.14,1359522,68,66.89,67.39,,
2023-03-13,70.72,72.16,1457325,72.83,70.64,72.31,25553,66.89,68.25,1457325,68.88,66.81,68.39,,
2023-03-14,72.54,71.88,1406802,72.56,71.08,71.8,23655,68.61,67.98,1406802,68.63,67.23,67.91,,
2023-03-15,71.59,72.96,1508660,73.23,70.99,72.51,26518,67.71,69,1508660,69.26,67.14,68.58,,
2023-03-16,73.08,73.29,1417431,73.37,72.08,72.89,22667,69.12,69.32,1417431,69.39,68.17,68.94,,
2023-03-17,73.5,72.66,2681640,73.5,72.42,72.82,21611,69.51,68.72,2681640,69.51,68.49,68.87,,
2023-03-20,72.68,73.32,1349452,73.45,72.61,73.13,21570,68.74,69.34,1349452,69.47,68.67,69.16,,
2023-03-21,73.26,72.83,1330398,73.48,72.12,72.7,20643,69.29,68.88,1330398,69.5,68.21,68.76,,
2023-03-22,72.67,72.15,1203827,73.22,72.13,72.67,19531,68.73,68.24,1203827,69.25,68.22,68.73,,
2023-03-23,72.06,71.24,1448964,72.7,71.2,71.73,23971,68.15,67.38,1448964,68.76,67.34,67.84,,
2023-03-24,71.45,72.91,1259923,73.15,71.4,72.6,21299,67.58,68.96,1259923,69.18,67.53,68.66,,
2023-03-27,73.27,74.1,2234386,74.48,73.07,74.13,32356,69.3,70.08,2234386,70.44,69.11,70.11,,
2023-03-28,79.06,81.22,6335049,83.93,78.43,81.32,80960,74.77,76.82,6335049,79.38,74.18,76.91,,
2023-03-29,81.54,81.24,2551969,82.02,81.04,81.49,35169,77.12,76.84,2551969,77.57,76.65,77.07,,
2023-03-30,81.44,81.04,1883831,81.87,80.36,80.81,32602,77.02,76.65,1883831,77.43,76,76.43,,
2023-03-31,81.52,83.24,2107660,83.47,81.52,82.97,33187,77.1,78.73,2107660,78.94,77.1,78.47,,
