Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,25.5,25.68,500,25.68,25.5,25.54,2,20.89,21.04,500,21.04,20.89,20.92,,
2023-03-02,25.68,25.86,1200,25.86,25.66,25.74,6,21.04,21.19,1200,21.19,21.02,21.09,,
2023-03-03,25.6,25.6,500,25.6,25.6,25.6,1,20.97,20.97,500,20.97,20.97,20.97,,
2023-03-06,25.85,25.5,1107,25.85,25.5,25.53,3,21.18,20.89,1107,21.18,20.89,20.92,,
2023-03-07,25.68,25.68,274,25.68,25.68,25.6,6,21.04,21.04,274,21.04,21.04,20.97,,
2023-03-10,25.46,25.02,3850,25.46,24.08,24.86,37,20.86,20.5,3850,20.86,19.73,20.37,,
2023-03-13,25.01,25.01,7068,25.01,21.01,23.34,64,20.49,20.49,7068,20.49,17.21,19.12,,
2023-03-14,24.58,25.56,3568,25.56,24.56,24.72,23,20.52,21.34,3568,21.34,20.51,20.64,0.46875,
2023-03-15,24.97,24.71,2053,25.01,24.61,24.75,11,20.85,20.63,2053,20.88,20.55,20.66,,
2023-03-16,23.87,25.05,4106,25.05,23.87,24.72,16,19.93,20.91,4106,20.91,19.93,20.64,,
2023-03-17,24.4,24.53,500,24.53,24.37,24.42,4,20.37,20.48,500,20.48,20.35,20.39,,
2023-03-20,24.51,23.01,2975,24.51,21.77,23.57,25,20.46,19.21,2975,20.46,18.18,19.68,,
2023-03-21,23.71,23.71,3433,23.71,23.67,23.72,22,19.8,19.8,3433,19.8,19.76,19.8,,
2023-03-22,23.63,22.61,2775,23.63,22.06,22.79,31,19.73,18.88,2775,19.73,18.42,19.03,,
2023-03-23,22.61,21.61,4165,23.01,20.71,22.06,34,18.88,18.04,4165,19.21,17.29,18.42,,
2023-03-24,20.71,21.41,6212,22.81,20.71,21.05,35,17.29,17.88,6212,19.04,17.29,17.57,,
2023-03-27,22.51,23.01,4170,24.76,21.51,22.36,28,18.79,19.21,4170,20.67,17.96,18.67,,
2023-03-29,23.76,23.83,804,23.83,23.76,23.81,7,19.84,19.9,804,19.9,19.84,19.88,,
2023-03-31,23.37,23.37,1047,23.37,23.37,23.4,6,19.51,19.51,1047,19.51,19.51,19.54,,
