Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,9.92,9.78,243347,9.94,9.62,9.747,5500,9.92,9.78,243347,9.94,9.62,9.747,,
2023-03-02,9.7,9.87,365368,9.93,9.63,9.856,3401,9.7,9.87,365368,9.93,9.63,9.856,,
2023-03-03,9.69,10.28,185831,10.39,9.63,10.14,3339,9.69,10.28,185831,10.39,9.63,10.14,,
2023-03-06,10,10.08,174646,10.21,9.98,10.08,3204,10,10.08,174646,10.21,9.98,10.08,,
2023-03-07,10.09,10.08,155032,10.26,9.96,10.08,2398,10.09,10.08,155032,10.26,9.96,10.08,,
2023-03-08,10.1,10.07,166650,10.21,9.869,10.05,2643,10.1,10.07,166650,10.21,9.869,10.05,,
2023-03-09,9.929,9.489,329891,10.04,9.419,9.652,3575,9.929,9.489,329891,10.04,9.419,9.652,,
2023-03-10,9.465,9.305,223878,9.715,9.215,9.348,3918,9.465,9.305,223878,9.715,9.215,9.348,,
2023-03-13,9.185,9.235,297550,9.39,9.082,9.241,5407,9.185,9.235,297550,9.39,9.082,9.241,,
2023-03-14,9.355,9.485,342475,9.775,9.175,9.508,3934,9.355,9.485,342475,9.775,9.175,9.508,,
2023-03-15,9.205,9.025,354556,9.6,8.884,9.05,5209,9.205,9.025,354556,9.6,8.884,9.05,,
2023-03-16,8.904,9.515,391436,9.875,8.854,9.459,6154,8.904,9.515,391436,9.875,8.854,9.459,,
2023-03-17,7.524,8.154,1329504,8.834,7.374,7.936,12179,7.524,8.154,1329504,8.834,7.374,7.936,,
2023-03-20,7.724,7.864,542337,8.234,7.634,7.91,8268,7.724,7.864,542337,8.234,7.634,7.91,,
2023-03-21,7.964,8.284,434984,8.454,7.964,8.284,6175,7.964,8.284,434984,8.454,7.964,8.284,,
2023-03-22,8.284,7.894,366673,8.364,7.834,8.012,5421,8.284,7.894,366673,8.364,7.834,8.012,,
2023-03-23,7.894,7.814,290161,7.984,7.744,7.85,5079,7.894,7.814,290161,7.984,7.744,7.85,,
2023-03-24,7.744,7.744,262017,7.834,7.534,7.696,6036,7.744,7.744,262017,7.834,7.534,7.696,,
2023-03-27,7.824,7.964,249187,8.074,7.719,7.949,5017,7.824,7.964,249187,8.074,7.719,7.949,,
2023-03-28,7.924,7.784,234635,7.964,7.664,7.789,3373,7.924,7.784,234635,7.964,7.664,7.789,,
2023-03-29,7.864,7.814,181324,7.864,7.684,7.786,2859,7.864,7.814,181324,7.864,7.684,7.786,,
2023-03-30,7.883,7.873,160128,8.043,7.833,7.888,3260,7.883,7.873,160128,8.043,7.833,7.888,,
2023-03-31,7.933,7.873,274229,7.983,7.733,7.856,3804,7.933,7.873,274229,7.983,7.733,7.856,,
