Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,53.07,54.26,3646200,54.52,52.83,54.08,46827,49.3,50.41,3646200,50.65,49.08,50.24,0.2,
2023-03-02,54.05,57,6905076,57.25,53.28,56.05,72185,50.21,52.96,6905076,53.19,49.5,52.07,,
2023-03-03,57.08,57.14,4340738,57.46,56.18,57.1,51109,53.03,53.09,4340738,53.38,52.19,53.05,,
2023-03-06,56.7,56.22,3887228,56.93,55.91,56.38,44190,52.68,52.23,3887228,52.89,51.94,52.38,,
2023-03-07,55.66,54.15,4547666,56.18,54.09,54.62,47938,51.71,50.31,4547666,52.19,50.25,50.74,,
2023-03-08,54.21,54.33,4900951,55.08,53.85,54.35,47816,50.36,50.47,4900951,51.17,50.03,50.49,,
2023-03-09,54.61,52.53,4694824,55.2,52.36,53.11,53894,50.74,48.8,4694824,51.28,48.64,49.34,,
2023-03-10,52.07,49.1,6463498,52.13,48.94,50.1,70267,48.38,45.62,6463498,48.43,45.47,46.55,,
2023-03-13,47.92,47.6,6366893,48.5,46.7,47.69,55583,44.52,44.22,6366893,45.06,43.39,44.31,,
2023-03-14,48.75,46.6,5485395,49.35,46,46.99,59028,45.53,43.52,5485395,46.09,42.96,43.89,0.25,
2023-03-15,44.88,44.76,6980863,45.02,43.02,44.18,77134,41.92,41.8,6980863,42.05,40.18,41.26,,
2023-03-16,44.02,44.57,4491578,44.96,43.51,44.38,52257,41.11,41.63,4491578,41.99,40.64,41.45,,
2023-03-17,44.23,43.11,5723206,44.61,43.06,43.43,44925,41.31,40.26,5723206,41.66,40.22,40.56,,
2023-03-20,43.21,43.63,3896377,44.14,42.91,43.59,35580,40.36,40.75,3896377,41.22,40.08,40.71,,
2023-03-21,44.73,45.39,3837690,45.78,44.73,45.33,38857,41.78,42.39,3837690,42.76,41.78,42.34,,
2023-03-22,45.48,43.99,3308557,45.76,43.97,44.91,34944,42.48,41.08,3308557,42.74,41.07,41.94,,
2023-03-23,44.24,43,3219497,44.78,42.55,43.62,35747,41.32,40.16,3219497,41.82,39.74,40.74,,
2023-03-24,42.36,42.41,7242349,42.56,41.18,42.25,38812,39.56,39.61,7242349,39.75,38.46,39.46,,
2023-03-27,43.27,43.3,3990747,43.76,42.07,43.15,38686,40.41,40.44,3990747,40.87,39.29,40.3,,
2023-03-28,43.44,43.67,2765806,44.11,43.07,43.66,27762,40.57,40.79,2765806,41.2,40.23,40.78,,
2023-03-29,44.26,45.21,4403176,46.14,44.21,45.4,42153,41.34,42.22,4403176,43.09,41.29,42.4,,
2023-03-30,45.92,45.28,2292006,46.27,45.08,45.42,27696,42.89,42.29,2292006,43.21,42.1,42.42,,
2023-03-31,45.43,45.9,3596063,46.06,44.82,45.7,34625,42.43,42.87,3596063,43.02,41.86,42.68,,
