Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,55.79,55.55,2272471,56.25,55.41,55.67,31502,53.62,53.39,2272471,54.06,53.25,53.5,,
2023-03-02,55.09,56,2043405,56.11,55.06,55.75,29743,52.94,53.82,2043405,53.93,52.92,53.58,,
2023-03-03,56.25,56.22,2373689,56.33,55.8,56.13,26577,54.06,54.03,2373689,54.14,53.63,53.94,,
2023-03-06,56.34,56.07,2277591,56.71,55.96,56.2,30840,54.15,53.89,2277591,54.5,53.78,54.01,,
2023-03-07,55.96,55.01,1914655,56.22,54.95,55.34,30993,53.78,52.87,1914655,54.03,52.81,53.19,,
2023-03-08,54.99,55.12,1858845,55.39,54.81,55.09,24970,52.85,52.97,1858845,53.23,52.68,52.94,,
2023-03-09,55.24,54.31,2524330,55.38,54.08,54.49,26553,53.09,52.2,2524330,53.22,51.97,52.37,,
2023-03-10,53.93,52.63,3463896,53.93,52.23,52.83,37586,51.83,50.58,3463896,51.83,50.2,50.77,,
2023-03-13,52.49,52,3744284,53.06,51.96,52.45,42759,50.45,49.98,3744284,50.99,49.94,50.41,,
2023-03-14,53.25,52.79,2756037,53.67,52.47,52.95,36732,51.18,50.73,2756037,51.58,50.43,50.89,,
2023-03-15,51.72,51.94,2631189,52.49,51.48,51.91,37173,49.71,49.92,2631189,50.45,49.48,49.89,,
2023-03-16,51.5,53.14,2858181,53.58,51.13,53.05,36281,49.69,51.27,2858181,51.69,49.33,51.18,0.2,
2023-03-17,53.22,52.78,5557710,53.88,52.18,52.87,44394,51.35,50.92,5557710,51.98,50.34,51.01,,
2023-03-20,52.7,52.95,2830568,53.25,52.57,52.93,28757,50.84,51.09,2830568,51.37,50.72,51.07,,
2023-03-21,53.72,54.04,2608185,54.31,53.38,53.97,26304,51.83,52.14,2608185,52.4,51.5,52.07,,
2023-03-22,54.04,52.97,2310425,54.46,52.96,53.46,26423,52.14,51.1,2310425,52.54,51.09,51.58,,
2023-03-23,52.85,52.52,2830714,53.13,52.15,52.62,29461,50.99,50.67,2830714,51.26,50.31,50.77,,
2023-03-24,52.08,53.1,2894143,53.1,52.03,52.73,27326,50.25,51.23,2894143,51.23,50.2,50.87,,
2023-03-27,53.64,53.28,1330671,53.73,53.15,53.31,19876,51.75,51.4,1330671,51.84,51.28,51.43,,
2023-03-28,53.03,52.97,2571635,53.26,52.66,52.94,23126,51.16,51.1,2571635,51.38,50.81,51.08,,
2023-03-29,53.5,54.12,2124560,54.31,53.38,53.96,26855,51.62,52.21,2124560,52.4,51.5,52.06,,
2023-03-30,54.34,54.05,2600722,54.81,53.97,54.24,32122,52.43,52.15,2600722,52.88,52.07,52.33,,
2023-03-31,54.39,54.69,2897078,54.72,54.05,54.41,32543,52.47,52.76,2897078,52.79,52.15,52.49,,
