Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,7.85,7.84,190063,8.06,7.39,7.729,2024,329.7,329.28,4525,338.52,310.38,324.62,,
2023-03-02,7.75,8.03,115736,8.2,7.57,7.921,1255,325.5,337.26,2756,344.4,317.94,332.68,,
2023-03-03,8,7.72,54630,8.02,7.58,7.767,598,336,324.24,1301,336.84,318.36,326.21,,
2023-03-06,7.59,6.85,177213,7.69,6.75,7.15,1723,318.78,287.7,4219,322.98,283.5,300.3,,
2023-03-07,6.92,6.39,144797,6.92,6.11,6.42,1452,290.64,268.38,3448,290.64,256.62,269.64,,
2023-03-08,6.399,6.219,49947,6.459,6.209,6.347,557,268.76,261.2,1189,271.28,260.78,266.57,,
2023-03-09,6.239,5.659,195078,6.429,5.549,5.814,1600,262.04,237.68,4645,270.02,233.06,244.19,,
2023-03-10,5.603,5.323,55807,5.743,5.243,5.426,516,235.33,223.57,1329,241.21,220.21,227.89,,
2023-03-13,5.203,4.782,107456,5.203,4.752,4.935,811,218.53,200.84,2558,218.53,199.58,207.27,,
2023-03-14,4.782,4.717,126601,4.972,4.602,4.753,889,200.84,198.11,3014,208.82,193.28,199.63,,
2023-03-15,4.652,4.642,37574,4.872,4.602,4.679,335,195.38,194.96,895,204.62,193.28,196.52,,
2023-03-16,4.592,4.682,47455,4.892,4.522,4.691,371,192.86,196.64,1130,205.46,189.92,197.02,,
2023-03-17,4.642,4.812,305529,5.543,4.522,4.988,1795,194.96,202.1,7275,232.81,189.92,209.5,,
2023-03-20,4.802,4.872,66292,4.942,4.672,4.84,544,201.68,204.62,1578,207.56,196.22,203.28,,
2023-03-21,4.942,5.002,158974,5.534,4.822,5.134,911,207.56,210.08,3785,232.43,202.52,215.63,,
2023-03-22,4.982,4.782,44396,5.053,4.762,4.866,591,209.24,200.84,1057,212.23,200,204.37,,
2023-03-23,4.812,4.802,64728,5.153,4.752,5.008,489,202.1,201.68,1541,216.43,199.58,210.34,,
2023-03-24,4.812,4.862,26732,5.103,4.812,4.952,291,202.1,204.2,636,214.33,202.1,207.98,,
2023-03-27,5.002,4.902,90103,5.103,4.642,4.894,566,210.08,205.88,2145,214.33,194.96,205.55,,
2023-03-28,4.882,4.922,20197,4.982,4.852,4.903,204,205.04,206.72,481,209.24,203.78,205.93,,
2023-03-29,4.952,4.842,38062,4.982,4.742,4.902,307,207.98,203.36,906,209.24,199.16,205.88,,
2023-03-30,4.862,4.862,14240,4.952,4.782,4.88,227,204.2,204.2,339,207.98,200.84,204.96,,
2023-03-31,4.892,4.862,26429,5.105,4.802,4.939,282,205.46,204.2,629,214.41,201.68,207.44,,
