Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.05,2.05,18718,2.09,2.05,2.063,214,20.5,20.5,1872,20.9,20.5,20.63,,
2023-03-02,2.05,2,25094,2.05,1.99,2.018,147,20.5,20,2509,20.5,19.9,20.18,,
2023-03-03,1.98,2,14224,2.03,1.96,1.999,143,19.8,20,1422,20.3,19.6,19.99,,
2023-03-06,2.03,2,10392,2.03,1.97,2.001,117,20.3,20,1039,20.3,19.7,20.01,,
2023-03-07,1.97,1.965,15171,2.026,1.95,1.974,136,19.7,19.65,1517,20.26,19.5,19.74,,
2023-03-08,1.95,1.88,39388,2,1.86,1.934,203,19.5,18.8,3939,20,18.6,19.34,,
2023-03-09,1.95,1.77,18016,1.95,1.77,1.815,153,19.5,17.7,1802,19.5,17.7,18.15,,
2023-03-10,1.771,1.851,53669,1.881,1.771,1.824,255,17.71,18.51,5367,18.81,17.71,18.24,,
2023-03-13,1.861,1.931,21894,1.951,1.86,1.914,440,18.61,19.31,2189,19.51,18.6,19.14,,
2023-03-14,1.931,1.901,26086,1.991,1.901,1.928,198,19.31,19.01,2609,19.91,19.01,19.28,,
2023-03-15,1.901,1.901,9327,1.911,1.852,1.89,255,19.01,19.01,933,19.11,18.52,18.9,,
2023-03-16,1.901,1.931,16208,1.961,1.857,1.929,122,19.01,19.31,1621,19.61,18.57,19.29,,
2023-03-17,1.921,1.901,33897,1.921,1.891,1.908,374,19.21,19.01,3390,19.21,18.91,19.08,,
2023-03-20,1.901,1.901,12104,1.941,1.901,1.908,206,19.01,19.01,1210,19.41,19.01,19.08,,
2023-03-21,1.901,1.901,16187,1.931,1.901,1.905,128,19.01,19.01,1619,19.31,19.01,19.05,,
2023-03-22,1.901,1.901,50939,1.921,1.901,1.902,203,19.01,19.01,5094,19.21,19.01,19.02,,
2023-03-23,1.919,1.911,33157,1.921,1.901,1.903,252,19.19,19.11,3316,19.21,19.01,19.03,,
2023-03-24,1.871,1.901,21540,1.911,1.871,1.902,255,18.71,19.01,2154,19.11,18.71,19.02,,
2023-03-27,1.901,1.901,25136,1.911,1.901,1.902,266,19.01,19.01,2514,19.11,19.01,19.02,,
2023-03-28,1.901,1.921,103679,1.921,1.831,1.884,434,19.01,19.21,10368,19.21,18.31,18.84,,
2023-03-29,1.942,2.061,142339,2.081,1.921,2.005,366,19.42,20.61,14234,20.81,19.21,20.05,,
2023-03-30,2.061,2.041,24257,2.111,2.031,2.064,184,20.61,20.41,2426,21.11,20.31,20.64,,
2023-03-31,2.081,2.031,21230,2.081,1.981,2.02,217,20.81,20.31,2123,20.81,19.81,20.2,,
