Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,56.96,55.75,1256898,57.55,55.67,56.27,22182,56.96,55.75,1256898,57.55,55.67,56.27,,
2023-03-02,55.65,56.8,753401,57.34,55.14,56.86,15982,55.65,56.8,753401,57.34,55.14,56.86,,
2023-03-03,56.98,56.6,674810,57.27,56.07,56.66,14998,56.98,56.6,674810,57.27,56.07,56.66,,
2023-03-06,56.96,55.27,915253,57.22,54.97,55.61,17017,56.96,55.27,915253,57.22,54.97,55.61,,
2023-03-07,55.3,55.52,731790,56.29,55.02,55.54,17544,55.3,55.52,731790,56.29,55.02,55.54,,
2023-03-08,55.6,56.29,614893,56.84,54.64,56.11,12920,55.6,56.29,614893,56.84,54.64,56.11,,
2023-03-09,56.16,55.55,704062,56.61,55.43,56.03,14443,56.16,55.55,704062,56.61,55.43,56.03,,
2023-03-10,55.24,53.71,995703,55.24,53.06,53.82,17274,55.24,53.71,995703,55.24,53.06,53.82,,
2023-03-13,52.93,52.85,1035686,54.03,52.18,53.23,20607,52.93,52.85,1035686,54.03,52.18,53.23,,
2023-03-14,53.91,52.53,649369,54.11,52.31,52.81,12958,53.91,52.53,649369,54.11,52.31,52.81,,
2023-03-15,51.82,52.81,840163,52.86,51.16,52.45,18200,51.82,52.81,840163,52.86,51.16,52.45,,
2023-03-16,52.04,52.26,897075,52.94,51.68,52.25,17873,52.04,52.26,897075,52.94,51.68,52.25,,
2023-03-17,51.95,51.97,1681786,52.05,50.98,51.73,24749,51.95,51.97,1681786,52.05,50.98,51.73,,
2023-03-20,52.24,52.27,1467161,53.21,51.72,52.33,25012,52.24,52.27,1467161,53.21,51.72,52.33,,
2023-03-21,53.03,53.29,1930205,54.19,52.84,53.48,28763,53.03,53.29,1930205,54.19,52.84,53.48,,
2023-03-22,61.86,58.5,5831464,63.66,57.07,58.66,70275,61.86,58.5,5831464,63.66,57.07,58.66,,
2023-03-23,59.32,58.01,2293105,59.63,56.19,57.56,36749,59.32,58.01,2293105,59.63,56.19,57.56,,
2023-03-24,58,58.13,1066331,59.33,57.54,58.33,20188,58,58.13,1066331,59.33,57.54,58.33,,
2023-03-27,55.96,58.05,1744758,58.51,55.6,57.54,27429,55.96,58.05,1744758,58.51,55.6,57.54,,
2023-03-28,58.03,57.05,880884,58.45,56.96,57.42,16622,58.03,57.05,880884,58.45,56.96,57.42,,
2023-03-29,57.03,56.69,1059270,57.48,56.08,56.58,20627,57.03,56.69,1059270,57.48,56.08,56.58,,
2023-03-30,57.12,56.56,654396,57.36,56.4,56.71,14242,57.12,56.56,654396,57.36,56.4,56.71,,
2023-03-31,56.99,57.96,723542,58.25,56.34,57.7,14351,56.99,57.96,723542,58.25,56.34,57.7,,
