Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,21.9,22.19,2542833,22.55,21.88,22.2,23644,21.9,22.19,2542833,22.55,21.88,22.2,,
2023-03-02,22,22.58,1961996,22.87,22,22.55,18868,22,22.58,1961996,22.87,22,22.55,,
2023-03-03,22.81,22.77,1715934,23.06,22.61,22.82,16582,22.81,22.77,1715934,23.06,22.61,22.82,,
2023-03-06,22.68,22.47,1772722,22.93,22.32,22.58,13717,22.68,22.47,1772722,22.93,22.32,22.58,,
2023-03-07,22.61,22.31,1439362,22.75,22.03,22.36,11516,22.61,22.31,1439362,22.75,22.03,22.36,,
2023-03-08,22.28,22.34,1292374,22.39,21.81,22.08,10551,22.28,22.34,1292374,22.39,21.81,22.08,,
2023-03-09,22.27,21.22,2470315,22.47,20.95,21.5,21905,22.27,21.22,2470315,22.47,20.95,21.5,,
2023-03-10,21.16,20.5,2330426,21.22,20.05,20.49,21764,21.16,20.5,2330426,21.22,20.05,20.49,,
2023-03-13,20.27,20.26,1879797,20.58,19.9,20.23,20333,20.27,20.26,1879797,20.58,19.9,20.23,,
2023-03-14,20.71,20.98,1328064,21.14,20.53,20.92,14563,20.71,20.98,1328064,21.14,20.53,20.92,,
2023-03-15,20.41,20.56,1712472,20.71,19.9,20.31,18570,20.41,20.56,1712472,20.71,19.9,20.31,,
2023-03-16,21,21.73,3110140,22.09,20.81,21.65,26967,21,21.73,3110140,22.09,20.81,21.65,,
2023-03-17,21.59,21.62,2961404,22,21.3,21.65,20768,21.59,21.62,2961404,22,21.3,21.65,,
2023-03-20,21.56,21.58,3019989,22.19,21.13,21.7,30373,21.56,21.58,3019989,22.19,21.13,21.7,,
2023-03-21,25.96,27.27,27354728,28.01,25.51,27.14,176791,25.96,27.27,27354728,28.01,25.51,27.14,,
2023-03-22,27.3,27.37,17372181,29.28,27.02,28.23,118751,27.3,27.37,17372181,29.28,27.02,28.23,,
2023-03-23,28.18,30.66,18913723,31.96,27.61,30.21,134395,28.18,30.66,18913723,31.96,27.61,30.21,,
2023-03-24,30.12,31.68,8654094,31.82,29.91,30.95,76347,30.12,31.68,8654094,31.82,29.91,30.95,,
2023-03-27,31.68,30.26,7408915,31.77,29.93,30.51,61064,31.68,30.26,7408915,31.77,29.93,30.51,,
2023-03-28,30.41,29.7,5695870,30.65,29.37,29.72,50913,30.41,29.7,5695870,30.65,29.37,29.72,,
2023-03-29,30.01,30.82,4678382,31.15,29.85,30.75,37334,30.01,30.82,4678382,31.15,29.85,30.75,,
2023-03-30,31.19,30.83,3673810,31.51,30.78,31.01,28925,31.19,30.83,3673810,31.51,30.78,31.01,,
2023-03-31,30.8,31.04,4598207,31.29,29.87,30.72,38331,30.8,31.04,4598207,31.29,29.87,30.72,,
