Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,2.48,2.5,67297,2.52,2.43,2.488,1220,2.48,2.5,67297,2.52,2.43,2.488,,
2023-03-02,2.45,2.44,89760,2.51,2.39,2.451,999,2.45,2.44,89760,2.51,2.39,2.451,,
2023-03-03,2.44,2.38,111108,2.45,2.36,2.38,1213,2.44,2.38,111108,2.45,2.36,2.38,,
2023-03-06,2.4,2.4,96560,2.4,2.29,2.341,980,2.4,2.4,96560,2.4,2.29,2.341,,
2023-03-07,2.38,2.45,90509,2.49,2.32,2.401,620,2.38,2.45,90509,2.49,2.32,2.401,,
2023-03-08,2.43,2.4,154330,2.44,2.37,2.4,817,2.43,2.4,154330,2.44,2.37,2.4,,
2023-03-09,2.31,2.15,55444,2.4,2.15,2.259,681,2.31,2.15,55444,2.4,2.15,2.259,,
2023-03-10,2.141,2.001,146714,2.201,1.901,2.016,896,2.141,2.001,146714,2.201,1.901,2.016,,
2023-03-13,1.921,2.011,34829,2.086,1.901,1.989,330,1.921,2.011,34829,2.086,1.901,1.989,,
2023-03-14,2.051,2.081,66006,2.136,2.001,2.074,598,2.051,2.081,66006,2.136,2.001,2.074,,
2023-03-15,2.028,2.091,24216,2.121,2.021,2.084,594,2.028,2.091,24216,2.121,2.021,2.084,,
2023-03-16,2.091,2.151,34856,2.171,2.031,2.116,413,2.091,2.151,34856,2.171,2.031,2.116,,
2023-03-17,2.131,2.261,83634,2.261,2.121,2.228,571,2.131,2.261,83634,2.261,2.121,2.228,,
2023-03-20,2.251,2.291,41281,2.321,2.221,2.272,520,2.251,2.291,41281,2.321,2.221,2.272,,
2023-03-21,2.301,2.361,34078,2.411,2.255,2.325,494,2.301,2.361,34078,2.411,2.255,2.325,,
2023-03-22,2.371,2.421,89657,2.441,2.291,2.373,668,2.371,2.421,89657,2.441,2.291,2.373,,
2023-03-23,2.421,2.481,85872,2.551,2.307,2.489,656,2.421,2.481,85872,2.551,2.307,2.489,,
2023-03-24,2.461,2.621,95756,2.621,2.441,2.508,942,2.461,2.621,95756,2.621,2.441,2.508,,
2023-03-27,2.691,2.801,113837,2.801,2.551,2.657,1010,2.691,2.801,113837,2.801,2.551,2.657,,
2023-03-28,2.801,2.851,86569,2.851,2.671,2.771,954,2.801,2.851,86569,2.851,2.671,2.771,,
2023-03-29,2.881,2.701,51391,2.881,2.681,2.756,667,2.881,2.701,51391,2.881,2.681,2.756,,
2023-03-30,2.701,2.591,142241,2.701,2.401,2.543,1986,2.701,2.591,142241,2.701,2.401,2.543,,
2023-03-31,2.521,2.581,51018,2.641,2.461,2.583,688,2.521,2.581,51018,2.641,2.461,2.583,,
