Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,117.17,116.67,131388,118.99,114.97,116.15,4106,107.29,106.83,131388,108.96,105.27,106.35,,
2023-03-02,115.74,116.62,130474,118.47,115.73,116.82,4378,105.98,106.78,130474,108.48,105.97,106.97,,
2023-03-03,117.26,120.47,128906,121.11,115.55,119.57,4202,107.37,110.31,128906,110.9,105.81,109.49,,
2023-03-06,120.4,115.73,218216,120.4,115.16,116.82,10094,110.25,105.97,218216,110.25,105.45,106.97,,
2023-03-07,115.85,115.22,87588,117.21,115.12,115.75,5538,106.08,105.5,87588,107.33,105.41,105.99,,
2023-03-08,115.65,115.23,81628,116.5,113.91,115.08,3458,105.9,105.51,81628,106.68,104.3,105.37,,
2023-03-09,115.28,113.21,127081,115.58,112.54,113.65,5661,105.56,103.66,127081,105.83,103.05,104.07,,
2023-03-10,112.75,111.03,178140,113.09,108.66,111.01,5541,103.24,101.67,178140,103.55,99.5,101.65,,
2023-03-13,108.41,109.26,218000,110.41,106.05,109.01,6407,99.27,100.05,218000,101.1,97.11,99.82,,
2023-03-14,111.87,114.14,218463,115.15,110.6,113.71,6042,102.44,104.51,218463,105.44,101.27,104.12,,
2023-03-15,110.53,113.71,267619,113.88,108.66,111.78,6556,101.21,104.12,267619,104.28,99.5,102.35,,
2023-03-16,111.56,117.48,157454,117.92,111.56,116.61,5910,102.15,107.57,157454,107.98,102.15,106.78,,
2023-03-17,116.96,115.28,394437,117.65,114,115.53,6675,107.1,105.56,394437,107.73,104.39,105.79,,
2023-03-20,116.46,115.66,193211,119.28,115.45,116.86,5675,106.64,105.91,193211,109.22,105.71,107,,
2023-03-21,118.06,117.17,125846,120.14,117.12,117.86,4214,108.1,107.29,125846,110.01,107.24,107.92,,
2023-03-22,116.82,117.45,195613,119.59,116.62,118.22,6009,106.97,107.54,195613,109.5,106.78,108.25,,
2023-03-23,117.91,116.53,268664,119.66,113.82,116.52,6885,107.97,106.7,268664,109.57,104.22,106.69,,
2023-03-24,110.36,101.77,787738,112.06,97.4,101.9,18109,101.05,93.19,787738,102.61,89.19,93.31,,
2023-03-27,102.36,101.88,334264,103.93,100.72,102,9802,93.73,93.29,334264,95.17,92.23,93.4,,
2023-03-28,102.21,104.41,158792,105.09,101.77,104.27,4616,93.59,95.6,158792,96.23,93.19,95.48,,
2023-03-29,105.05,103.32,147822,105.34,101.98,103.23,4362,96.19,94.61,147822,96.46,93.38,94.52,,
2023-03-30,104.2,102.81,130252,104.63,102.63,103.21,5075,95.41,94.14,130252,95.81,93.97,94.51,,
2023-03-31,103.46,105.63,244146,106.38,103.46,105.36,5303,94.73,96.72,244146,97.41,94.73,96.47,,
