Time,Open,Close,Volume,High,Low,Average,Transactions,AdjOpen,AdjClose,AdjVolume,AdjHigh,AdjLow,AdjAverage,Dividend,Split
2023-03-01,22.38,22.39,613,22.39,22.38,22.38,3,19.53,19.54,613,19.54,19.53,19.53,,
2023-03-02,22.34,22.34,4234,22.34,21.97,22.03,53,19.5,19.5,4234,19.5,19.17,19.23,,
2023-03-03,22.02,22.36,1881,22.36,21.92,22.16,23,19.22,19.51,1881,19.51,19.13,19.34,,
2023-03-06,21.75,22.31,863,22.31,21.75,22.07,17,18.98,19.47,863,19.47,18.98,19.26,,
2023-03-08,22.3,22.3,803,22.31,22.1,22.23,13,19.46,19.46,803,19.47,19.29,19.4,,
2023-03-09,22.06,22.36,391,22.36,22.06,22.19,4,19.25,19.51,391,19.51,19.25,19.37,,
2023-03-13,21.92,22.12,631,22.12,21.48,21.8,10,19.13,19.3,631,19.3,18.75,19.02,,
2023-03-14,21.11,21.96,2053,21.96,21.11,21.31,20,18.42,19.16,2053,19.16,18.42,18.6,,
2023-03-15,21.85,21.85,203,21.85,21.85,21.85,4,19.07,19.07,203,19.07,19.07,19.07,,
2023-03-20,21.37,21.37,223,21.37,21.37,21.46,3,18.65,18.65,223,18.65,18.65,18.73,,
2023-03-21,21.66,21.6,503,21.66,21.26,21.41,6,18.9,18.85,503,18.9,18.55,18.68,,
2023-03-24,21.02,21.25,1686,21.25,21.01,21.05,12,18.34,18.54,1686,18.54,18.34,18.37,,
2023-03-27,21.41,21.41,376,21.46,21.41,21.45,5,18.68,18.68,376,18.73,18.68,18.72,,
2023-03-30,21.04,21.5,1453,21.51,21.04,21.27,9,18.36,18.76,1453,18.77,18.36,18.56,,
2023-03-31,21.35,22.64,6396,22.64,21.35,21.84,39,18.63,19.76,6396,19.76,18.63,19.06,,
